"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",-0.011139514258275,0.0031763460006406,Inf,-3.50702167082188,0.00131676129870972,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","ses-02A",-0.0100586251164527,0.00598372683546011,Inf,-1.68099670874752,0.212471680225528,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","ses-02A",0.00108088914182233,0.00605674902199443,Inf,0.17846028255376,0.982595654931414,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","ses-04A",0.000635105326433607,0.00352324359477913,Inf,0.18026154290743,0.98224572304469,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","ses-04A",0.00989270373448407,0.00645183458983935,Inf,1.53331639190868,0.275282499955521,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","ses-04A",0.00925759840805046,0.0064721197771097,Inf,1.43038119300454,0.325217281826185,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","ses-06A",0.00519537778240322,0.00350030512183235,Inf,1.48426425742095,0.298465232081848,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","ses-06A",0.0121814588162426,0.00610582405102305,Inf,1.99505565742622,0.113392275304416,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","ses-06A",0.00698608103383938,0.00603632030118602,Inf,1.15734100996376,0.478827129372576,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","ses-02A",-0.0124939983701154,0.00381259547123704,Inf,-3.27703226433869,0.00301262478110165,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2","ses-02A",-0.0219767429545728,0.0071818024909228,Inf,-3.06005950210265,0.006264782227001,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2","ses-02A",-0.00948274458445745,0.00726921626510394,Inf,-1.30450714886275,0.392618954062382,"mr_y_smri__thk__dsk__cac"
