"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1",0.00416923061328427,0.000712606532407312,Inf,5.85067694959217,0.0000000146793516231369,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2",0.00557608807614434,0.00131776721882918,Inf,4.23146667823369,0.0000689049295574673,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2",0.00140685746286007,0.00134161478038187,Inf,1.04862996698622,0.546147925259423,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1",0.00195309321708891,0.000860250985821638,Inf,2.27037602894868,0.0600265250983141,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2",0.003571872938878,0.00159125914140687,Inf,2.2446833742743,0.0639115962722405,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2",0.00161877972178908,0.00162016591607801,Inf,0.999144412140037,0.57738893211407,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi1",0.00541318302400751,0.000536320138433617,Inf,10.0931936656664,0.000000000000031863400806742,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi2",0.0070328104806379,0.000986574645767727,Inf,7.12851329679687,0.00000000000306576986019991,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi2",0.00161962745663039,0.00100311027087989,Inf,1.61460559586306,0.239397552698033,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi1",0.00247577582553728,0.000513070477080763,Inf,4.82541080832364,0.00000417492799298369,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi2",0.0036240676335732,0.000940356872132953,Inf,3.85392795115428,0.000342036252798938,"mr_y_smri__thk__dsk__cn"
"co_longi1 - co_longi2",0.00114829180803592,0.00095515025774592,Inf,1.20221064562742,0.45182896644988,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi1",0.00516674282066095,0.00128636063567735,Inf,4.01655855858831,0.000174506059457014,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi2",0.00893197194036602,0.00237894554650466,Inf,3.75459285038685,0.000509335920317433,"mr_y_smri__thk__dsk__er"
"co_longi1 - co_longi2",0.00376522911970507,0.00242203986856742,Inf,1.55456942248111,0.265592679181894,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi1",0.0053512986228275,0.000466672220664145,Inf,11.4669320046773,0,"mr_y_smri__thk__dsk__ff"
"co_longi0 - co_longi2",0.00533854577682587,0.000857973577690755,Inf,6.22227294131205,0.00000000146967626957206,"mr_y_smri__thk__dsk__ff"
