"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0117746195847086,0.00294537775650811,Inf,3.99766025213282,0.000188953152018501,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0199513288509367,0.00566008740159207,Inf,3.52491532998674,0.00123191301998216,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00817670926622813,0.00580292014556152,Inf,1.40906803146038,0.336159328890955,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00456027245596962,0.00294199741873347,Inf,1.55005997861576,0.267630562508949,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00228875508175854,0.0055952652400596,Inf,0.409052115237017,0.911906514067292,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00227151737421108,0.00573385476184445,Inf,-0.396158861456823,0.917137446597141,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0107061072942874,0.00355770771287782,Inf,3.00927118198455,0.00738504891098613,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0111626482551913,0.00683776503230406,Inf,1.6324995378541,0.231928794571925,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.000456540960903943,0.0070104165324056,Inf,0.0651232289541693,0.997664547264746,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-0.00303247000185455,0.00355413194335519,Inf,-0.853223811097968,0.669817154645713,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00305874631152517,0.00675983886532163,Inf,0.452488050745813,0.893299511176779,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",0.00609121631337972,0.00692732077799084,Inf,0.87930334231561,0.653388385402271,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0143046152192596,0.00220822705743155,Inf,6.47787335596623,0.000000000279059109153934,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0250785256161301,0.00423326793769706,Inf,5.92415268421991,0.00000000941300071222173,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.0107739103968706,0.00433882348602053,Inf,2.48314097855872,0.0347804969640724,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00714693736591273,0.00220048558360081,Inf,3.24789101968016,0.00333308201909699,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00308348246789465,0.00418092424446225,Inf,0.737512159417575,0.741160010100167,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00406345489801808,0.00428390167839327,Inf,-0.948540653608589,0.609501309579595,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.00808366308383142,0.00210480672181481,Inf,3.84057262837963,0.000361051364696108,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0129999431726252,0.00402837827557683,Inf,3.22709097391398,0.00358058881467771,"mr_y_smri__thk__dsk__cn"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00491628008879373,0.00412777968722616,Inf,1.19102288913521,0.458508380158096,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00131202534832791,0.0020941919494507,Inf,0.626506729085673,0.805554959985674,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00123610259797425,0.00397622361710893,Inf,0.310873511403014,0.948123182788396,"mr_y_smri__thk__dsk__cn"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.0000759227503536624,0.00407369476091333,Inf,-0.0186373193893006,0.99980851456415,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.000546626475166343,0.00531947980196651,Inf,0.102759385412887,0.994195290040019,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0165466182791637,0.0102228057413657,Inf,1.61859852351584,0.237717417830158,"mr_y_smri__thk__dsk__er"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.0159999918039974,0.0104808249113779,Inf,1.52659661231702,0.278391130102695,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.0202634134121726,0.00531360548138189,Inf,3.81349603074083,0.000402690627183122,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.0193194401265247,0.0101059032379089,Inf,1.9116985064783,0.135329484274601,"mr_y_smri__thk__dsk__er"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.000943973285647885,0.0103562386022806,Inf,-0.0911502063538786,0.995429916172149,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0133800914642855,0.00192083880703901,Inf,6.96575444813667,0.0000000000098220320765563,"mr_y_smri__thk__dsk__ff"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.015229526897226,0.00368141116936434,Inf,4.13687202993291,0.000104306794692977,"mr_y_smri__thk__dsk__ff"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00184943543294046,0.0037730714769589,Inf,0.490167081178942,0.875992895645823,"mr_y_smri__thk__dsk__ff"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00783323988848782,0.00191364927662222,Inf,4.09335189273255,0.000125855150536536,"mr_y_smri__thk__dsk__ff"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00605940880409054,0.00363555838633706,Inf,1.66670650287523,0.218085740233773,"mr_y_smri__thk__dsk__ff"
