"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",0.0101676788835656,0.00283211060050477,Inf,3.59014188278996,0.000963744768047059,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi2","ses-02A",0.00824087783750527,0.00535163734640809,Inf,1.53987972354599,0.272267030181315,"mr_y_smri__thk__dst__gcn"
"co_longi1 - co_longi2","ses-02A",-0.00192680104606032,0.0054233094429271,Inf,-0.355281413745106,0.932792139276365,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi1","ses-04A",0.0158051165771177,0.00308464683779828,Inf,5.12380100809172,0.00000089625547960992,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi2","ses-04A",0.0170812092467842,0.00567244501702492,Inf,3.01126043452475,0.00733797615373011,"mr_y_smri__thk__dst__gcn"
"co_longi1 - co_longi2","ses-04A",0.00127609266966647,0.00569743417974497,Inf,0.223976728718188,0.972724092525333,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi1","ses-06A",0.0165411051836244,0.003088657978788,Inf,5.3554343981185,0.000000255676470106714,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi2","ses-06A",0.016988708921385,0.00545365427221781,Inf,3.11510559221355,0.00522624684974171,"mr_y_smri__thk__dst__gcn"
"co_longi1 - co_longi2","ses-06A",0.000447603737760574,0.00541064389283266,Inf,0.0827265195466852,0.996234046720636,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi1","ses-02A",-0.000424683029503045,0.0031467234392223,Inf,-0.134960392200213,0.990008561854108,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","ses-02A",0.00147008567116694,0.00592855053403435,Inf,0.247967131717532,0.96667247496459,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","ses-02A",0.00189476870066999,0.00600117224012659,Inf,0.315733097610613,0.946533444878991,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","ses-04A",0.0246113753088193,0.00348677721102179,Inf,7.05848805912294,0.00000000000507227593260495,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","ses-04A",0.0297964926449498,0.00638583883318691,Inf,4.66602640988977,0.00000916440016640596,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","ses-04A",0.00518511733613049,0.00640609555741772,Inf,0.809403682735667,0.69718918528763,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","ses-06A",0.0248903412923391,0.00346597121207759,Inf,7.18134680565313,0.0000000000020925483568135,"mr_y_smri__thk__dst__gcpd"
