"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1",0.00141152085825711,0.00054466353283782,Inf,2.59154647439451,0.047085617470263,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi2",0.0017015338421151,0.000990797603542257,Inf,1.71733746229487,0.31453874919114,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi3",-0.000212568552817472,0.00124962049309956,Inf,-0.170106487522637,0.998251117042891,"mr_y_smri__thk__dst__gcn"
"co_longi1 - co_longi2",0.00029001298385799,0.00100830623717882,Inf,0.287623911431341,0.991713864920555,"mr_y_smri__thk__dst__gcn"
"co_longi1 - co_longi3",-0.00162408941107458,0.00125974481724529,Inf,-1.28922095081606,0.569798135102594,"mr_y_smri__thk__dst__gcn"
"co_longi2 - co_longi3",-0.00191410239493257,0.00150750246310952,Inf,-1.26971759036756,0.582290678673658,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi1",0.00597294159395737,0.000696723957512823,Inf,8.57289537635489,0.000000000000035527136788005,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2",0.00645128681406707,0.00127613771369185,Inf,5.05532180802302,0.00000256474467252854,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi3",0.00551481460115866,0.00160956323202144,Inf,3.42628018051373,0.00342590132373288,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2",0.000478345220109699,0.0013009452098021,Inf,0.367690519558825,0.983023261273471,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi3",-0.000458126992798705,0.00162536194999129,Inf,-0.281861521860507,0.992192439230492,"mr_y_smri__thk__dst__gcpd"
"co_longi2 - co_longi3",-0.000936472212908404,0.00194573051868553,Inf,-0.48129594715976,0.963257566450338,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1",0.00923737768363196,0.00107953369397227,Inf,8.55682201973886,0.0000000000000365263375101677,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi2",0.00667482361135048,0.00197420420350448,Inf,3.38101985574834,0.00402559850441842,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi3",0.00904158616650132,0.00248999838637877,Inf,3.63116145615282,0.00160695839126934,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi2",-0.00256255407228147,0.00201184340978558,Inf,-1.27373435716579,0.579717796843169,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi3",-0.000195791517130643,0.00251352818171347,Inf,-0.0778950952509999,0.999830625671355,"mr_y_smri__thk__dst__gcpv"
"co_longi2 - co_longi3",0.00236676255515083,0.00300869120167081,Inf,0.786641897259681,0.860565736888817,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi1",0.0063360427406809,0.000658512313816799,Inf,9.62175286283806,0.0000000000000296429547574917,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi2",0.00740420056645138,0.00120326603264629,Inf,6.15341941479693,0.00000000454725224141583,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi3",0.00834010474909069,0.00151763282928272,Inf,5.49546938374581,0.000000233284444872695,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi2",0.00106815782577048,0.00122596143605674,Inf,0.871281750269548,0.819727939237114,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi3",0.00200406200840979,0.00153167256898572,Inf,1.30841411473268,0.557510981974427,"mr_y_smri__thk__dst__gfio"
"co_longi2 - co_longi3",0.000935904182639306,0.00183332770500331,Inf,0.510494757748516,0.956620713976051,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi1",0.00529120601127721,0.000962288311544524,Inf,5.49856622781227,0.000000229228104053902,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi2",0.00714794418453237,0.00176434519835302,Inf,4.05132974613177,0.000297118964350807,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi3",0.00701171080569239,0.00222533923515972,Inf,3.15085030403876,0.00884132025786399,"mr_y_smri__thk__dst__gfiob"
"co_longi1 - co_longi2",0.00185673817325516,0.00179905367625433,Inf,1.03206379985333,0.730604263516825,"mr_y_smri__thk__dst__gfiob"
