"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.00563743769355214,0.00224345202114246,Inf,2.51284076522454,0.0321093547928679,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.00884033140927893,0.00429742423009413,Inf,2.05712327569887,0.0989292877003645,"mr_y_smri__thk__dst__gcn"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00320289371572679,0.0044040712324664,Inf,0.72725747306614,0.747309428367159,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00073598860650668,0.00223392774014213,Inf,0.329459450850391,0.941925141228472,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-0.000092500325399216,0.00424307923616902,Inf,-0.0218002823540793,0.999738014255908,"mr_y_smri__thk__dst__gcn"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.000828488931905896,0.00434736076707737,Inf,-0.190572850125542,0.980177469021243,"mr_y_smri__thk__dst__gcn"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0250360583383223,0.00289284767674453,Inf,8.65446823888658,0.0000000000000256461518688411,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0283264069737829,0.00555806906154544,Inf,5.09644746405986,0.00000103575957000057,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00329034863546051,0.00569821417253514,Inf,0.577435058745191,0.832184356281068,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00027896598351977,0.00288897034594424,Inf,0.0965624254023249,0.994872534725429,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-0.000965803954747304,0.00549399528126416,Inf,-0.175792643659693,0.983107668705578,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00124476993826707,0.00563002349209141,Inf,-0.221094981222658,0.973412030107509,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0297624032947669,0.00448852203756665,Inf,6.63078025364936,0.000000000100190078455853,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0299969453775806,0.00861782868111305,Inf,3.48080084758732,0.00145092658637036,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.000234542082813702,0.00883444298217816,Inf,0.0265485988518854,0.999611483972336,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00735109093192433,0.00447939965953723,Inf,1.641088424935,0.228399330559619,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-0.00131408073310125,0.00851615615817081,Inf,-0.154304443072061,0.986959371409739,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00866517166502558,0.00872669598465495,Inf,-0.992949872467477,0.581314290420936,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0155799612394289,0.00273563908484191,Inf,5.6951815485299,0.0000000369445911641009,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0226492134865755,0.00525055946746776,Inf,4.31367621429851,0.000047716046666979,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00706925224714666,0.0053823179750286,Inf,1.3134215183764,0.387634643722446,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.0083529650174545,0.00272916924354561,Inf,3.06062551349974,0.00625321479304231,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00583861156291902,0.00518793714899843,Inf,1.12542064316377,0.498347322473251,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00251435345453548,0.00531609590298067,Inf,-0.472969920111056,0.884021027144084,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0116415739793574,0.00398780224438804,Inf,2.91929570874292,0.0098206673747544,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0205187272002184,0.0076645117661534,Inf,2.67710818722066,0.0203027257937611,"mr_y_smri__thk__dst__gfiob"
