"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1",-1.99779548026259,0.388386018118929,Inf,-5.14383985792929,0.00000160802789228587,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi2",-1.28533300224969,0.707824001631685,Inf,-1.81589349794119,0.265728650583676,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi3",-2.48463164716071,0.892737327592127,Inf,-2.78316092580357,0.0276000981928064,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi2",0.712462478012905,0.720693538013228,Inf,0.98857897349404,0.755971799432625,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi3",-0.486836166898118,0.900408670022999,Inf,-0.540683561927145,0.949056945355292,"mr_y_smri__vol__aseg__ab"
"co_longi2 - co_longi3",-1.19929864491102,1.07759222044711,Inf,-1.11294293161602,0.681542679960159,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi1",1.28383156359582,0.794436992512677,Inf,1.61602691679206,0.36947677547375,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi2",5.22017989651275,1.44417309433739,Inf,3.61464973761184,0.00171081818609387,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi3",4.47933364618593,1.82142126939005,Inf,2.45925186087563,0.0664605232718518,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi2",3.93634833291693,1.46941310220636,Inf,2.67885751597451,0.0371020839840738,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi3",3.19550208259011,1.83583926390227,Inf,1.74062192993831,0.302576583382107,"mr_y_smri__vol__aseg__ag"
"co_longi2 - co_longi3",-0.740846250326821,2.19682852710736,Inf,-0.337234445558807,0.98679725667908,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi1",284.033956400204,9.62927786172799,Inf,29.4969114484805,0,"mr_y_smri__vol__aseg__cbc"
