"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1",7.73773235991944,0.577179227045565,Inf,13.4061171943539,0,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi2",0.158884838182347,1.03462544691475,Inf,0.153567495035175,0.998710664317711,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi3",3.41805404437466,1.30472284657112,Inf,2.61975488001722,0.0436375168389312,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi2",-7.57884752173709,1.04796387965776,Inf,-7.23197399151978,0.00000000000288435941797616,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi3",-4.31967831554478,1.30939139301205,Inf,-3.29899702915263,0.00536286339089109,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi2 - co_longi3",3.25916920619231,1.56603707831562,Inf,2.08115711391571,0.15922711522164,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi1",8.20030078318229,1.02012480517665,Inf,8.03852699353027,0.0000000000000573985303731206,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi2",-2.90526400097537,1.82157685716282,Inf,-1.59491705746659,0.381475381310395,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi3",5.53645169965482,2.29700374541944,Inf,2.41029284810497,0.0751202457330341,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi2",-11.1055647841577,1.84244445398171,Inf,-6.02762528886959,0.00000000997579940875681,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi3",-2.66384908352747,2.3021363609884,Inf,-1.15712045935618,0.653960372618761,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi2 - co_longi3",8.44171570063019,2.75306237603263,Inf,3.066300195056,0.0116373611153615,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi1",115.205875943809,10.0901097021049,Inf,11.4177030126616,0,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi2",3.35794831363563,17.978575073501,Inf,0.186774997457111,0.997690127452255,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi3",56.9817980098631,22.6702241428026,Inf,2.51350836458112,0.0578394621393257,"mr_y_smri__vol__aseg__avs_sum"
"co_longi1 - co_longi2",-111.847927630174,18.1696305802943,Inf,-6.15576233847468,0.00000000448053971702222,"mr_y_smri__vol__aseg__avs_sum"
"co_longi1 - co_longi3",-58.2240779339462,22.70337477313,Inf,-2.56455608541757,0.0505970405031426,"mr_y_smri__vol__aseg__avs_sum"
"co_longi2 - co_longi3",53.6238496962275,27.1488404125749,Inf,1.97518011382135,0.197366658170961,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi1",63.8662965178911,3.57481706808539,Inf,17.8656125059,0,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi2",115.950203922731,6.38465232410678,Inf,18.1607702403675,0,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi3",116.353246724336,8.05105253268893,Inf,14.4519298876659,0,"mr_y_smri__vol__aseg__bs_sum"
"co_longi1 - co_longi2",52.0839074048403,6.45829170442375,Inf,8.06465700042075,0.0000000000000551780843238703,"mr_y_smri__vol__aseg__bs_sum"
"co_longi1 - co_longi3",52.4869502064446,8.06962884530379,Inf,6.5042582766356,0.000000000468375338513738,"mr_y_smri__vol__aseg__bs_sum"
"co_longi2 - co_longi3",0.403042801604258,9.65030318537157,Inf,0.041764781257361,0.999973851200023,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi1",2.37052232251875,0.483845476638913,Inf,4.89933757154422,0.00000573028417560906,"mr_y_smri__vol__aseg__ccam_sum"
"co_longi0 - co_longi2",2.79219177650551,0.870595282655197,Inf,3.20722134858083,0.00732993355363765,"mr_y_smri__vol__aseg__ccam_sum"
"co_longi0 - co_longi3",5.72272011874577,1.0979163022179,Inf,5.21234643040214,0.00000111450901940646,"mr_y_smri__vol__aseg__ccam_sum"
"co_longi1 - co_longi2",0.421669453986766,0.882981792353122,Inf,0.477551697711714,0.964060970031199,"mr_y_smri__vol__aseg__ccam_sum"
"co_longi1 - co_longi3",3.35219779622703,1.10322265842077,Inf,3.038550532515,0.0127142646463659,"mr_y_smri__vol__aseg__ccam_sum"
"co_longi2 - co_longi3",2.93052834224026,1.31961676138245,Inf,2.22074198206622,0.117589024814361,"mr_y_smri__vol__aseg__ccam_sum"
"co_longi0 - co_longi1",3.75728182436818,0.430452913743075,Inf,8.7286709054798,0.0000000000000319744231092045,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi2",4.54865252434325,0.774270078221782,Inf,5.87476211761903,0.0000000253810342742966,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi3",6.63948751025042,0.976436332666136,Inf,6.79971370188721,0.0000000000629191143630692,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi1 - co_longi2",0.791370699975065,0.785198009865312,Inf,1.00786131654971,0.744823144370736,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi1 - co_longi3",2.88220568588224,0.981050962993451,Inf,2.93787559933467,0.0174056519527392,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi2 - co_longi3",2.09083498590717,1.17346848579573,Inf,1.78175640097346,0.282089112149699,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi1",1.85306464736516,0.243843004494579,Inf,7.5994168920534,0.000000000000203170813506404,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi2",3.19480839001863,0.43488190465202,Inf,7.34638152529023,0.00000000000124955601421561,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi3",3.48228939832556,0.548375476971365,Inf,6.35019169266644,0.00000000128983812519579,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi1 - co_longi2",1.34174374265347,0.439659374898128,Inf,3.05178012629518,0.0121902258969209,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi1 - co_longi3",1.62922475096041,0.549360445720832,Inf,2.96567538426006,0.0159773559006225,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi2 - co_longi3",0.287481008306935,0.656944109394916,Inf,0.437603449358457,0.971971443308773,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi1",0.30282171959568,0.234862987047615,Inf,1.28935479958912,0.569712411533298,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi2",2.42758934714433,0.420534132699776,Inf,5.77263332124676,0.0000000467659398983855,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi3",2.19586255569423,0.530310999231923,Inf,4.14070716782156,0.000202733716435421,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi1 - co_longi2",2.12476762754865,0.425783698949147,Inf,4.99025123036104,0.00000359710840069916,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi1 - co_longi3",1.89304083609855,0.532005329977659,Inf,3.55831178642148,0.00211389073525781,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi2 - co_longi3",-0.231726791450099,0.63625938563644,Inf,-0.364201765319826,0.983486297082668,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi1",9.2566161202022,0.621666739472531,Inf,14.8899973771417,0,"mr_y_smri__vol__aseg__csf_sum"
"co_longi0 - co_longi2",3.55700904032449,1.11777191467977,Inf,3.18223153901978,0.00796847672769518,"mr_y_smri__vol__aseg__csf_sum"
"co_longi0 - co_longi3",4.2660223325735,1.40962263617829,Inf,3.02635770956358,0.0132149431002347,"mr_y_smri__vol__aseg__csf_sum"
"co_longi1 - co_longi2",-5.69960707987771,1.13339466126888,Inf,-5.02879294798936,0.00000294548399537575,"mr_y_smri__vol__aseg__csf_sum"
"co_longi1 - co_longi3",-4.9905937876287,1.41610254585588,Inf,-3.52417542234728,0.00239914249400686,"mr_y_smri__vol__aseg__csf_sum"
"co_longi2 - co_longi3",0.709013292249014,1.69382636191262,Inf,0.418586762015213,0.975321003473389,"mr_y_smri__vol__aseg__csf_sum"
"co_longi0 - co_longi1",99.2040376200927,9.27496149009073,Inf,10.695897522171,0.0000000000000373034936274053,"mr_y_smri__vol__aseg__lvs_sum"
"co_longi0 - co_longi2",6.05540290899826,16.5211485963756,Inf,0.366524329327,0.983178941398584,"mr_y_smri__vol__aseg__lvs_sum"
"co_longi0 - co_longi3",48.0730755303954,20.8323686315762,Inf,2.30761448112673,0.0962549579541669,"mr_y_smri__vol__aseg__lvs_sum"
"co_longi1 - co_longi2",-93.1486347110944,16.694763493034,Inf,-5.57951208772506,0.000000144444720517889,"mr_y_smri__vol__aseg__lvs_sum"
"co_longi1 - co_longi3",-51.1309620896973,20.8605443786362,Inf,-2.45108474456025,0.0678453527099028,"mr_y_smri__vol__aseg__lvs_sum"
"co_longi2 - co_longi3",42.0176726213971,24.9449850804905,Inf,1.68441362004499,0.331889201051378,"mr_y_smri__vol__aseg__lvs_sum"
"co_longi0 - co_longi1",173.843192448144,7.44671452534034,Inf,23.3449519055115,0,"mr_y_smri__vol__aseg__scgv_sum"
"co_longi0 - co_longi2",272.126535577673,13.2899664387681,Inf,20.4760889977761,0,"mr_y_smri__vol__aseg__scgv_sum"
"co_longi0 - co_longi3",259.864424408007,16.7584885798242,Inf,15.5064356293361,0,"mr_y_smri__vol__aseg__scgv_sum"
"co_longi1 - co_longi2",98.2833431295294,13.4394706440814,Inf,7.31303678041904,0.00000000000159472435257157,"mr_y_smri__vol__aseg__scgv_sum"
"co_longi1 - co_longi3",86.0212319598635,16.7927084820841,Inf,5.12253470318016,0.00000180052323395241,"mr_y_smri__vol__aseg__scgv_sum"
"co_longi2 - co_longi3",-12.262111169666,20.081656379912,Inf,-0.610612538014143,0.928748784715926,"mr_y_smri__vol__aseg__scgv_sum"
"co_longi0 - co_longi1",2609.68676695426,125.288413568068,Inf,20.8294342041169,0,"mr_y_smri__vol__aseg__stv_sum"
"co_longi0 - co_longi2",4146.30827041585,223.133626491907,Inf,18.5821757823052,0,"mr_y_smri__vol__aseg__stv_sum"
"co_longi0 - co_longi3",3813.21821916428,281.359901098188,Inf,13.5528133336724,0,"mr_y_smri__vol__aseg__stv_sum"
"co_longi1 - co_longi2",1536.62150346158,225.463539511431,Inf,6.81538800815143,0.0000000000564297497618327,"mr_y_smri__vol__aseg__stv_sum"
"co_longi1 - co_longi3",1203.53145221002,281.722977098601,Inf,4.27203866935137,0.000113934922528203,"mr_y_smri__vol__aseg__stv_sum"
"co_longi2 - co_longi3",-333.090051251567,336.882196199637,Inf,-0.988743409444461,0.755877434101374,"mr_y_smri__vol__aseg__stv_sum"
"co_longi0 - co_longi1",3036.17434722617,142.683792807174,Inf,21.2790414909233,0,"mr_y_smri__vol__aseg__whb_sum"
"co_longi0 - co_longi2",4876.35129194626,254.266633007723,Inf,19.178101484508,0,"mr_y_smri__vol__aseg__whb_sum"
"co_longi0 - co_longi3",4381.65281238387,320.620137818996,Inf,13.6661809273424,0,"mr_y_smri__vol__aseg__whb_sum"
"co_longi1 - co_longi2",1840.17694472009,256.981321147575,Inf,7.16074202009158,0.00000000000484356998953217,"mr_y_smri__vol__aseg__whb_sum"
"co_longi1 - co_longi3",1345.4784651577,321.103790991068,Inf,4.1901668647541,0.000163515285277471,"mr_y_smri__vol__aseg__whb_sum"
"co_longi2 - co_longi3",-494.698479562396,383.979184749704,Inf,-1.28834712716228,0.570357784127263,"mr_y_smri__vol__aseg__whb_sum"
"co_longi0 - co_longi1",-0.750610175584391,1.29121916184054,Inf,-0.581318956353198,0.937732392567966,"mr_y_smri__vol__aseg__wmh_sum"
"co_longi0 - co_longi2",5.91489676319882,2.33846140854501,Inf,2.5293967826816,0.055498188661975,"mr_y_smri__vol__aseg__wmh_sum"
"co_longi0 - co_longi3",1.19716775248621,2.94923275853976,Inf,0.405925150878548,0.97740637951646,"mr_y_smri__vol__aseg__wmh_sum"
"co_longi1 - co_longi2",6.66550693878321,2.37671447625322,Inf,2.80450470823533,0.0259400420811794,"mr_y_smri__vol__aseg__wmh_sum"
"co_longi1 - co_longi3",1.9477779280706,2.96942964719567,Inf,0.65594345025486,0.913493977545706,"mr_y_smri__vol__aseg__wmh_sum"
"co_longi2 - co_longi3",-4.71772901071262,3.55273722591119,Inf,-1.32791386210744,0.545045428030014,"mr_y_smri__vol__aseg__wmh_sum"
