"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-2.90962112854261,1.60401510739248,Inf,-1.81396117476259,0.266638935176543,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",-0.627721074020652,3.04492044125438,Inf,-0.206153522277928,0.996902809894459,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",-5.03224481878246,3.86122401306447,Inf,-1.30327709600785,0.560798352763494,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",2.28190005452195,3.12352365303447,Inf,0.730553153425016,0.884864437199053,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",-2.12262369023985,3.92110028229924,Inf,-0.541333691418673,0.948886126504836,"mr_y_smri__vol__aseg__ab"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",-4.4045237447618,4.69822290166121,Inf,-0.937487181207269,0.784656544365528,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-5.30418412026014,1.59894008221676,Inf,-3.31731262431452,0.00503325896929829,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-4.64323846144944,3.00614512957749,Inf,-1.54458226775699,0.410771621361483,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-5.16216923683608,3.78756151014166,Inf,-1.36292683907938,0.52274256747742,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",0.660945658810707,3.08235344764532,Inf,0.214428899877014,0.996519186735897,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",0.142014883424063,3.84635117763847,Inf,0.0369219753645207,0.999981930839867,"mr_y_smri__vol__aseg__ab"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-0.518930775386644,4.61269151343304,Inf,-0.112500646070828,0.999491009049527,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",10.2286909350276,3.27513957577488,Inf,3.12313130429182,0.00968298112164012,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",19.8305267016963,6.20995594861028,Inf,3.19334418243888,0.00767856346346873,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",14.5032860909321,7.8760201460951,Inf,1.8414485770612,0.253870255078121,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",9.60183576666875,6.36909922442874,Inf,1.50756573705758,0.432879741957727,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",4.27459515590458,7.99695548407565,Inf,0.534527816794352,0.950657716710425,"mr_y_smri__vol__aseg__ag"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",-5.32724061076417,9.58039284575639,Inf,-0.556056593558568,0.944927708383655,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-4.87968296451991,3.26111648584821,Inf,-1.49632280407509,0.439680221331796,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",1.29396377380862,6.12815257864567,Inf,0.211150710952858,0.996674669622738,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",3.66869844619458,7.72345919233147,Inf,0.475007163867349,0.96460082190225,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",6.17364673832854,6.28309468733352,Inf,0.98258056667113,0.759405560790823,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",8.54838141071449,7.84243584207397,Inf,1.0900161101546,0.695662792312012,"mr_y_smri__vol__aseg__ag"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",2.37473467238595,9.40396020917526,Inf,0.252524959651463,0.994352459281523,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",910.551215895558,38.9662878722048,Inf,23.3676664013219,0,"mr_y_smri__vol__aseg__cbc"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",933.272732463702,73.3129716317795,Inf,12.7299809527725,0,"mr_y_smri__vol__aseg__cbc"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",1207.5765983216,93.0377757906088,Inf,12.97942247716,0,"mr_y_smri__vol__aseg__cbc"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",22.721516568144,75.0550831191627,Inf,0.302731215846763,0.990370441769583,"mr_y_smri__vol__aseg__cbc"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",297.025382426041,94.3332291941931,Inf,3.14868244163029,0.00890468682739964,"mr_y_smri__vol__aseg__cbc"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",274.303865857897,112.921668882124,Inf,2.4291517170565,0.0716817280510726,"mr_y_smri__vol__aseg__cbc"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",243.807909847069,38.531261083473,Inf,6.3275351751112,0.00000000149410317451526,"mr_y_smri__vol__aseg__cbc"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",420.708419469331,72.151906560698,Inf,5.83087044436461,0.0000000330462373021589,"mr_y_smri__vol__aseg__cbc"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",9.80551867014059,91.0862737412305,Inf,0.107650892581218,0.999553859520426,"mr_y_smri__vol__aseg__cbc"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",176.900509622262,73.927574005452,Inf,2.39288941916606,0.0784111173806004,"mr_y_smri__vol__aseg__cbc"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-234.002391176928,92.3976815819442,Inf,-2.53255695565694,0.055042055600692,"mr_y_smri__vol__aseg__cbc"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-410.902900799191,110.737326041804,Inf,-3.71060883883064,0.00118418841056356,"mr_y_smri__vol__aseg__cbc"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",184.049482581265,27.4348144289205,Inf,6.70861044305985,0.000000000117904019880655,"mr_y_smri__vol__aseg__cbwm"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",180.213041724266,51.9686903541934,Inf,3.46772336374115,0.0029499033436059,"mr_y_smri__vol__aseg__cbwm"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",184.29516876768,65.9190407694536,Inf,2.79578050008702,0.0266077884212823,"mr_y_smri__vol__aseg__cbwm"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",-3.83644085699965,53.2914615016825,Inf,-0.0719897850217249,0.99986625610596,"mr_y_smri__vol__aseg__cbwm"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.24568618641425,66.9220899202837,Inf,0.00367122704486526,0.999999982227984,"mr_y_smri__vol__aseg__cbwm"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",4.08212704341391,80.1633684550067,Inf,0.0509225987142129,0.999952617868717,"mr_y_smri__vol__aseg__cbwm"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-113.515915718663,27.2925755927654,Inf,-4.15922327787757,0.000187110201466889,"mr_y_smri__vol__aseg__cbwm"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",34.6451983783595,51.2658168196571,Inf,0.675795306260982,0.906299723608013,"mr_y_smri__vol__aseg__cbwm"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-18.0871939366903,64.6270852077593,Inf,-0.279870179485036,0.992353566910482,"mr_y_smri__vol__aseg__cbwm"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",148.161114097023,52.5588041440313,Inf,2.81895900239671,0.0248657884517264,"mr_y_smri__vol__aseg__cbwm"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",95.4287217819729,65.6159401854572,Inf,1.45435273063607,0.465382405833698,"mr_y_smri__vol__aseg__cbwm"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-52.7323923150498,78.6744890013066,Inf,-0.670260372637108,0.908336787512123,"mr_y_smri__vol__aseg__cbwm"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",14.2403290206093,3.32325170246454,Inf,4.28505882056679,0.000107506667581636,"mr_y_smri__vol__aseg__cd"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",20.4228286269802,6.2517664955965,Inf,3.26672927425636,0.00599173804377451,"mr_y_smri__vol__aseg__cd"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",27.0869634203313,7.93382959171585,Inf,3.41410955544273,0.00357853270394981,"mr_y_smri__vol__aseg__cd"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",6.18249960637091,6.40009579707097,Inf,0.966001104108528,0.768807599827217,"mr_y_smri__vol__aseg__cd"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",12.8466343997221,8.04408222728955,Inf,1.59702922430851,0.380266887545994,"mr_y_smri__vol__aseg__cd"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",6.66413479335117,9.62908329240172,Inf,0.692084032403149,0.900165667522372,"mr_y_smri__vol__aseg__cd"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",8.78241251415372,3.28581431642617,Inf,2.67282678459626,0.0377281991065602,"mr_y_smri__vol__aseg__cd"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",19.9346515793584,6.15251186674173,Inf,3.24008340188956,0.00656079511400831,"mr_y_smri__vol__aseg__cd"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",14.7939072904285,7.76724452987385,Inf,1.90465321820746,0.225996603649191,"mr_y_smri__vol__aseg__cd"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",11.1522390652047,6.3038437107352,Inf,1.76911731587077,0.288295180053952,"mr_y_smri__vol__aseg__cd"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",6.01149477627477,7.87892801713285,Inf,0.762983842878458,0.871096060912472,"mr_y_smri__vol__aseg__cd"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-5.14074428892993,9.44272684735733,Inf,-0.544413109902532,0.94807245901693,"mr_y_smri__vol__aseg__cd"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",1975.50930804719,85.5272963468951,Inf,23.0979978606434,0,"mr_y_smri__vol__aseg__cwm"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",2326.15416645059,160.622159543718,Inf,14.4821497423428,0,"mr_y_smri__vol__aseg__cwm"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",2684.13527068614,203.846119700214,Inf,13.1674582505351,0,"mr_y_smri__vol__aseg__cwm"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",350.644858403397,164.345972994536,Inf,2.1335774282407,0.142477549108716,"mr_y_smri__vol__aseg__cwm"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",708.625962638947,206.597350243408,Inf,3.42998572732932,0.0033806315054038,"mr_y_smri__vol__aseg__cwm"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",357.98110423555,247.274107626658,Inf,1.44770961938336,0.469492566845471,"mr_y_smri__vol__aseg__cwm"
