"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",20.8377875230907,2.33340059657177,Inf,8.93022293458981,0.0000000000000279776202205539,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",8.86858812447962,4.39733355470034,Inf,2.01681041798613,0.181691182493818,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",16.4313977312947,5.58006731196791,Inf,2.94465941227147,0.0170470790822669,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",-11.9691993986111,4.50391734140289,Inf,-2.65750867330148,0.0393592397393356,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",-4.40638979179603,5.65975997764883,Inf,-0.778547113163363,0.864214119202511,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",7.56280960681508,6.77595025910205,Inf,1.11612531344309,0.679571305560219,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",11.2930205141274,2.31058110856162,Inf,4.88752395329567,0.00000608406567581543,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-7.12622440362192,4.33004680037959,Inf,-1.64576151994413,0.3528856682737,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-1.23748709168593,5.46469686989013,Inf,-0.226451186799463,0.995908385257697,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-18.4192449177493,4.4373578191913,Inf,-4.15094875560569,0.000193945745714741,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-12.5305076058133,5.54470605451401,Inf,-2.25990476007508,0.107558558669079,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",5.88873731193599,6.64583433055353,Inf,0.886079462568475,0.812112159875572,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",11.799357371268,4.12874270002074,Inf,2.85785727727929,0.0221652649383763,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",5.17849892197029,7.76860076317685,Inf,0.666593519197995,0.909673056250522,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",-3.51292580096121,9.85871326703804,Inf,-0.35632700797846,0.984501882278752,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",-6.62085844929774,7.95338350040362,Inf,-0.832458091447715,0.83905317459462,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",-15.3122831722292,9.99615653317188,Inf,-1.53181706603093,0.418344868702252,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",-8.6914247229315,11.9659803365484,Inf,-0.726344560034479,0.886593489915484,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",22.285864209999,4.08291403829642,Inf,5.45832314885026,0.000000287702441204019,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-15.4103670191637,7.64576195431119,Inf,-2.01554365820588,0.182154843746303,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",26.8449798013154,9.65205777005762,Inf,2.78127011263788,0.0277515104931433,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-37.6962312291627,7.83398966993337,Inf,-4.81188166150382,0.0000088995383202839,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",4.55911559131641,9.79113636669716,Inf,0.465637023177764,0.966546229537466,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",42.2553468204791,11.7345855989554,Inf,3.60092365121446,0.00180185957832646,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",279.639768732347,40.4753777700219,Inf,6.90888594842127,0.0000000000293364221803927,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",163.123408905447,76.0892122518633,Inf,2.14384410191409,0.139356526436398,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",181.41690688972,96.5631721889992,Inf,1.87873806107612,0.237173067341991,"mr_y_smri__vol__aseg__avs_sum"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",-116.516359826901,77.8777642808049,Inf,-1.49614412923792,0.43978860041999,"mr_y_smri__vol__aseg__avs_sum"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",-98.2228618426271,97.8892429000479,Inf,-1.00340812670213,0.747412519159437,"mr_y_smri__vol__aseg__avs_sum"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",18.2934979842734,117.170898061311,Inf,0.156126634573554,0.998645527255441,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",207.665503001174,39.9954656560776,Inf,5.19222615850748,0.00000124179804750213,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-123.99185072647,74.863754818955,Inf,-1.6562333939344,0.347132129376427,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",78.5351487000572,94.5237107159051,Inf,0.830851308155875,0.839831828688958,"mr_y_smri__vol__aseg__avs_sum"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-331.657353727644,76.6991416315397,Inf,-4.32413383869295,0.0000902193953753461,"mr_y_smri__vol__aseg__avs_sum"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-129.130354301116,95.8722889593778,Inf,-1.34689966936985,0.532936134600839,"mr_y_smri__vol__aseg__avs_sum"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",202.526999426528,114.896803374928,Inf,1.76268611029714,0.291483515226385,"mr_y_smri__vol__aseg__avs_sum"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",187.935969271626,14.212490102703,Inf,13.2232964043284,0,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",233.321760289573,26.7413522085312,Inf,8.72512947251549,0.0000000000000326405569239796,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",272.452146206907,33.9360411231937,Inf,8.02840099167309,0.0000000000000582867087928207,"mr_y_smri__vol__aseg__bs_sum"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",45.3857910179468,27.3771978692144,Inf,1.65779533883499,0.346278040953077,"mr_y_smri__vol__aseg__bs_sum"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",84.5161769352808,34.4089446280786,Inf,2.45622694473208,0.0669707019288963,"mr_y_smri__vol__aseg__bs_sum"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",39.130385917334,41.1894170759924,Inf,0.950010674954211,0.777747148009589,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",82.8456018222532,14.0544080795398,Inf,5.89463471911412,0.0000000225085370342271,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",243.456004145029,26.3182756028161,Inf,9.25045424020785,0.0000000000000431876756579186,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",211.079455044246,33.2245187360747,Inf,6.35312302703301,0.00000000126548993506503,"mr_y_smri__vol__aseg__bs_sum"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",160.610402322776,26.9661150199339,Inf,5.95600820526239,0.0000000154950309250168,"mr_y_smri__vol__aseg__bs_sum"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",128.233853221993,33.7031189775774,Inf,3.80480670964922,0.000817637200323684,"mr_y_smri__vol__aseg__bs_sum"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-32.3765491007831,40.3928174523471,Inf,-0.801542233070989,0.853728654755343,"mr_y_smri__vol__aseg__bs_sum"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",2.23004631955395,1.97753583385149,Inf,1.12768946149039,0.672386029024343,"mr_y_smri__vol__aseg__ccam_sum"
