"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",139.099322066902,10.2242094113944,Inf,13.6048975984278,0,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi2","ses-02A",127.315154374018,19.0397157813212,Inf,6.68682010993674,0.000000000136851308063513,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi3","ses-02A",163.532955837512,24.0787728540021,Inf,6.79158181478221,0.0000000000665683064227096,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi2","ses-02A",-11.7841676928838,19.3242216304236,Inf,-0.609813317103084,0.929003012282792,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi3","ses-02A",24.4336337706102,24.1937843124148,Inf,1.00991368093136,0.743626879825728,"mr_y_smri__vol__dsk__bstmps"
"co_longi2 - co_longi3","ses-02A",36.217801463494,29.0813430852095,Inf,1.24539645082328,0.597861541032554,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi1","ses-04A",122.867572468445,11.3330477555737,Inf,10.8415295795448,0.0000000000000369704267200177,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi2","ses-04A",123.111812745313,20.5608423831076,Inf,5.98768330846499,0.00000001276077221668,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi3","ses-04A",166.144071379459,25.8132015705408,Inf,6.43639925583932,0.000000000733854421675062,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi2","ses-04A",0.244240276867398,20.7163634434521,Inf,0.0117897273589586,0.999999411435809,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi3","ses-04A",43.2764989110134,25.76139018922,Inf,1.67989765277197,0.334307979092289,"mr_y_smri__vol__dsk__bstmps"
"co_longi2 - co_longi3","ses-04A",43.032258634146,30.9955979745392,Inf,1.38833451993713,0.506651643859053,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi1","ses-06A",78.3713285549381,11.2007660505111,Inf,6.99696147580564,0.0000000000157236446085562,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi2","ses-06A",85.9925380425265,19.3450228851378,Inf,4.44520218730742,0.0000519033429493554,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi3","ses-06A",101.234437772519,24.222511214444,Inf,4.17935353094822,0.000171420442286796,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi2","ses-06A",7.62120948758842,19.2444422424003,Inf,0.396021323538127,0.978958320852106,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi3","ses-06A",22.8631092175814,23.881454590229,Inf,0.95735831882434,0.773655452637111,"mr_y_smri__vol__dsk__bstmps"
"co_longi2 - co_longi3","ses-06A",15.241899729993,28.7109925951482,Inf,0.530873312006939,0.95159384465113,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi1","ses-02A",6.78254090583616,11.1585935235589,Inf,0.607831165416709,0.929631314944604,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi2","ses-02A",-29.0107533881041,20.7905037962074,Inf,-1.39538481955383,0.502204138379514,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi3","ses-02A",34.0562984820647,26.3592721821781,Inf,1.29200450781379,0.56801547621299,"mr_y_smri__vol__dsk__cac"
"co_longi1 - co_longi2","ses-02A",-35.7932942939402,21.1045663729589,Inf,-1.69599761783317,0.32572729656053,"mr_y_smri__vol__dsk__cac"
"co_longi1 - co_longi3","ses-02A",27.2737575762285,26.4855276469162,Inf,1.02976077878532,0.731967554600471,"mr_y_smri__vol__dsk__cac"
"co_longi2 - co_longi3","ses-02A",63.0670518701688,31.8104890433427,Inf,1.98258668026883,0.194511566078003,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi1","ses-04A",-8.1143773141376,12.6181039218192,Inf,-0.643074218156201,0.917991193629072,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi2","ses-04A",-36.944128891166,22.9341560307958,Inf,-1.61087806508152,0.372386863459008,"mr_y_smri__vol__dsk__cac"
