"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",99.2186582183503,6.38952610414352,Inf,15.5283281735101,0,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi2","ses-02A",105.93935043759,11.9029037753996,Inf,8.90029462025397,0.000000000000028643754035329,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi3","ses-02A",124.151963445889,15.0461826218025,Inf,8.25139283275666,0.0000000000000455191440096314,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi2","ses-02A",6.72069221923982,12.0817433104736,Inf,0.556268416447295,0.944869496991577,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi3","ses-02A",24.9333052275391,15.1197679504367,Inf,1.64905343185633,0.351071883899574,"mr_y_smri__vol__dst__gcpd"
"co_longi2 - co_longi3","ses-02A",18.2126130082993,18.1769073101289,Inf,1.00196434396463,0.748250170926968,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi1","ses-04A",87.4969937670131,7.05491034664055,Inf,12.4022828736127,0,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi2","ses-04A",109.76042989464,12.8036292375598,Inf,8.57260295953081,0.00000000000003574918139293,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi3","ses-04A",118.104945964713,16.0733895112671,Inf,7.34785565184764,0.00000000000123545618180287,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi2","ses-04A",22.2634361276271,12.9002796635244,Inf,1.72581034739713,0.310155867152916,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi3","ses-04A",30.6079521976998,16.0418611593847,Inf,1.90800505587182,0.224576777179564,"mr_y_smri__vol__dst__gcpd"
"co_longi2 - co_longi3","ses-04A",8.34451607007265,19.3024447615254,Inf,0.432303585020761,0.97293148438948,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi1","ses-06A",57.2704074060935,6.98824285495102,Inf,8.19525145230444,0.0000000000000482947015711943,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi2","ses-06A",81.1272181170538,12.0940487358963,Inf,6.70802804657636,0.000000000118374754443096,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi3","ses-06A",77.6363382656071,15.1452065862546,Inf,5.12613266933367,0.00000176652407490874,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi2","ses-06A",23.8568107109603,12.0352365385325,Inf,1.98224693254505,0.194641903715218,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi3","ses-06A",20.3659308595136,14.9367106329795,Inf,1.36348165000577,0.522390245869342,"mr_y_smri__vol__dst__gcpd"
"co_longi2 - co_longi3","ses-06A",-3.49087985144673,17.9600846796711,Inf,-0.194368785766252,0.997399592719161,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi1","ses-02A",67.7440623789874,3.62465801809557,Inf,18.6897803988087,0,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi2","ses-02A",75.1518740571375,6.76509115133658,Inf,11.1087747934172,0.0000000000000159872115546023,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi3","ses-02A",75.5210693703065,8.53998187813396,Inf,8.84323531923095,0.0000000000000293098878501041,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi2","ses-02A",7.40781167815012,6.86979989829226,Inf,1.07831549503962,0.702809124625791,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi3","ses-02A",7.77700699131912,8.58651334587118,Inf,0.90572350825713,0.801799111642854,"mr_y_smri__vol__dst__gcpv"
"co_longi2 - co_longi3","ses-02A",0.369195313168992,10.327141814835,Inf,0.0357499993501241,0.999983596928944,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi1","ses-04A",75.6718634860161,3.95402818278779,Inf,19.1379170779364,0,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi2","ses-04A",83.9149910997418,7.19293052703649,Inf,11.6663146938964,0,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi3","ses-04A",89.8163285586317,9.02813007433305,Inf,9.94849739858969,0.0000000000000336397576461422,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi2","ses-04A",8.24312761372566,7.24981671209348,Inf,1.13701186403447,0.666570147032243,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi3","ses-04A",14.1444650726156,9.01517626398689,Inf,1.56896156641094,0.396465761016673,"mr_y_smri__vol__dst__gcpv"
"co_longi2 - co_longi3","ses-04A",5.90133745888992,10.8497694813408,Inf,0.543913625910572,0.948204948661018,"mr_y_smri__vol__dst__gcpv"
