"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1",4.8435086099878,2.10164329497369,Inf,2.30462924967886,0.09693354513219,"mr_y_smri__vol__dst__gcn"
"co_longi0 - co_longi2",8.54820944652111,3.80842528992149,Inf,2.24455222192302,0.111408258090681,"mr_y_smri__vol__dst__gcn"
"co_longi0 - co_longi3",5.81823482602658,4.80315217453402,Inf,1.21133676689955,0.619612484390641,"mr_y_smri__vol__dst__gcn"
"co_longi1 - co_longi2",3.70470083653331,3.87141633087675,Inf,0.956936821024959,0.773890917046172,"mr_y_smri__vol__dst__gcn"
"co_longi1 - co_longi3",0.97472621603878,4.83687516482485,Inf,0.201519820715505,0.997104953733867,"mr_y_smri__vol__dst__gcn"
"co_longi2 - co_longi3",-2.72997462049453,5.78716158748172,Inf,-0.471729461710516,0.965288933817312,"mr_y_smri__vol__dst__gcn"
"co_longi0 - co_longi1",-10.3403313440933,1.41523854128077,Inf,-7.30642294035845,0.00000000000167399427652981,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi2",-6.16284585324191,2.59233507967547,Inf,-2.37733381828611,0.081450369763037,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi3",-11.5563870099655,3.26965371193945,Inf,-3.53443759740251,0.00230985752810986,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi2",4.17748549085137,2.64276307076512,Inf,1.58072645144157,0.389639420704336,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi3",-1.2160556658722,3.30178950075873,Inf,-0.36830199671807,0.982941270066968,"mr_y_smri__vol__dst__gcpd"
"co_longi2 - co_longi3",-5.39354115672357,3.9526050541588,Inf,-1.36455352427601,0.521709684610634,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi1",-4.62373872956814,1.39824977053698,Inf,-3.30680456882354,0.00522002681429801,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi2",-2.04900949802155,2.57687522644485,Inf,-0.795152779224176,0.856679608978963,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi3",-3.82868203499787,3.25024721933733,Inf,-1.17796640582265,0.640806397248941,"mr_y_smri__vol__dst__gfiob"
"co_longi1 - co_longi2",2.5747292315466,2.63028347273297,Inf,0.97887899089118,0.761516107794869,"mr_y_smri__vol__dst__gfiob"
"co_longi1 - co_longi3",0.795056694570276,3.28631248200757,Inf,0.241929730944083,0.995024197122496,"mr_y_smri__vol__dst__gfiob"
"co_longi2 - co_longi3",-1.77967253697632,3.93559212489644,Inf,-0.452199435433913,0.969220103424594,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi1",-9.94267090402131,3.10765344870216,Inf,-3.19941430669293,0.0075242619324003,"mr_y_smri__vol__dst__gfit"
"co_longi0 - co_longi2",-2.02670878767423,5.69582581128186,Inf,-0.355823519683463,0.984565431792129,"mr_y_smri__vol__dst__gfit"
"co_longi0 - co_longi3",-3.21681542643053,7.18403792489151,Inf,-0.447772612013195,0.970071293934352,"mr_y_smri__vol__dst__gfit"
"co_longi1 - co_longi2",7.91596211634708,5.80741721575447,Inf,1.36307790920764,0.522646629541263,"mr_y_smri__vol__dst__gfit"
"co_longi1 - co_longi3",6.72585547759078,7.25562790589398,Inf,0.92698462005296,0.790386482504549,"mr_y_smri__vol__dst__gfit"
"co_longi2 - co_longi3",-1.1901066387563,8.68609289857663,Inf,-0.137012884003499,0.999082651363544,"mr_y_smri__vol__dst__gfit"
"co_longi0 - co_longi1",-28.8041747008153,7.10807909868071,Inf,-4.05231488014273,0.00029588282353421,"mr_y_smri__vol__dst__gfm"
"co_longi0 - co_longi2",-3.36166544088098,12.9425003406736,Inf,-0.259738485794471,0.993862991453571,"mr_y_smri__vol__dst__gfm"
"co_longi0 - co_longi3",-18.9374158154341,16.3235300962587,Inf,-1.16012992923476,0.652066177815454,"mr_y_smri__vol__dst__gfm"
"co_longi1 - co_longi2",25.4425092599344,13.1746079945234,Inf,1.93117770718573,0.214922412365947,"mr_y_smri__vol__dst__gfm"
"co_longi1 - co_longi3",9.86675888538125,16.4598989455308,Inf,0.599442251622102,0.93225557289296,"mr_y_smri__vol__dst__gfm"
"co_longi2 - co_longi3",-15.5757503745531,19.698008932633,Inf,-0.790727145460337,0.85870677354479,"mr_y_smri__vol__dst__gfm"
"co_longi0 - co_longi1",-17.450817425058,8.0356677530842,Inf,-2.17166985511069,0.131155145723663,"mr_y_smri__vol__dst__gfs"
"co_longi0 - co_longi2",31.3047924816669,14.5548465094748,Inf,2.15081570673303,0.137266528374384,"mr_y_smri__vol__dst__gfs"
"co_longi0 - co_longi3",2.76096103511962,18.3563750465811,Inf,0.150408837698805,0.998788162890595,"mr_y_smri__vol__dst__gfs"
"co_longi1 - co_longi2",48.7556099067249,14.7935124957392,Inf,3.29574263859022,0.00542344599795941,"mr_y_smri__vol__dst__gfs"
"co_longi1 - co_longi3",20.2117784601776,18.4827718903639,Inf,1.09354693008548,0.693498068543503,"mr_y_smri__vol__dst__gfs"
"co_longi2 - co_longi3",-28.5438314465473,22.1135997109768,Inf,-1.29078177318994,0.568798526257258,"mr_y_smri__vol__dst__gfs"
"co_longi0 - co_longi1",-3.584689797827,0.963495820191633,Inf,-3.72050373515272,0.00113948808017417,"mr_y_smri__vol__dst__gilsci"
"co_longi0 - co_longi2",-0.0920244279179645,1.76157866240048,Inf,-0.052239749425986,0.999948847831906,"mr_y_smri__vol__dst__gilsci"
"co_longi0 - co_longi3",-1.05014682298855,2.22181799910556,Inf,-0.472652045942248,0.965096077868497,"mr_y_smri__vol__dst__gilsci"
"co_longi1 - co_longi2",3.49266536990904,1.79506093064433,Inf,1.94570853294398,0.209012495086935,"mr_y_smri__vol__dst__gilsci"
"co_longi1 - co_longi3",2.53454297483845,2.24268678218277,Inf,1.13013684968153,0.670861165402819,"mr_y_smri__vol__dst__gilsci"
"co_longi2 - co_longi3",-0.95812239507059,2.68445873438661,Inf,-0.356914555175503,0.984427513619718,"mr_y_smri__vol__dst__gilsci"
"co_longi0 - co_longi1",-2.99122188162765,1.24481275864822,Inf,-2.40294924746426,0.076494933366918,"mr_y_smri__vol__dst__gis"
"co_longi0 - co_longi2",3.18518120359012,2.26734653692716,Inf,1.40480564030007,0.496274591973764,"mr_y_smri__vol__dst__gis"
"co_longi0 - co_longi3",0.0406860016839845,2.85966231126076,Inf,0.0142275546045319,0.999998965660754,"mr_y_smri__vol__dst__gis"
"co_longi1 - co_longi2",6.17640308521776,2.3082203478147,Inf,2.67582906071566,0.0374153813028431,"mr_y_smri__vol__dst__gis"
"co_longi1 - co_longi3",3.03190788331163,2.88380934035666,Inf,1.0513551783339,0.719104437852045,"mr_y_smri__vol__dst__gis"
"co_longi2 - co_longi3",-3.14449520190613,3.45119085917868,Inf,-0.9111333827114,0.798919418067942,"mr_y_smri__vol__dst__gis"
"co_longi0 - co_longi1",-11.7521357449733,2.91897013927797,Inf,-4.02612400409149,0.000330454668763691,"mr_y_smri__vol__dst__go"
"co_longi0 - co_longi2",-4.91690937667111,5.29213348560558,Inf,-0.929097761809094,0.78923841708941,"mr_y_smri__vol__dst__go"
"co_longi0 - co_longi3",-1.8765727147233,6.67441779480526,Inf,-0.281159012278771,0.992249530222852,"mr_y_smri__vol__dst__go"
"co_longi1 - co_longi2",6.8352263683022,5.38046219932444,Inf,1.27037903345189,0.581867011259231,"mr_y_smri__vol__dst__go"
"co_longi1 - co_longi3",9.87556303025001,6.72223635693181,Inf,1.46908893199903,0.456304226298711,"mr_y_smri__vol__dst__go"
"co_longi2 - co_longi3",3.04033666194781,8.04310274017677,Inf,0.378005448912242,0.981606579825695,"mr_y_smri__vol__dst__go"
"co_longi0 - co_longi1",-23.6922392821237,4.33821089331211,Inf,-5.46129265376384,0.000000282934499384879,"mr_y_smri__vol__dst__gom"
"co_longi0 - co_longi2",-14.2963426410616,7.93709792446076,Inf,-1.80120527390783,0.272695758311091,"mr_y_smri__vol__dst__gom"
"co_longi0 - co_longi3",-28.033459774938,10.0108224682674,Inf,-2.8003153450977,0.026258852113235,"mr_y_smri__vol__dst__gom"
"co_longi1 - co_longi2",9.39589664106204,8.08928861142645,Inf,1.16152323058296,0.651188641233333,"mr_y_smri__vol__dst__gom"
"co_longi1 - co_longi3",-4.34122049281429,10.1064878530836,Inf,-0.429547886063085,0.973422526469156,"mr_y_smri__vol__dst__gom"
"co_longi2 - co_longi3",-13.7371171338763,12.0977623052539,Inf,-1.13550893026808,0.667509124615636,"mr_y_smri__vol__dst__gom"
"co_longi0 - co_longi1",18.329383106843,2.89092046429266,Inf,6.34032770297185,0.00000000137517597309511,"mr_y_smri__vol__dst__gotml"
"co_longi0 - co_longi2",21.7727086533275,5.22414852002476,Inf,4.16770475989919,0.000180340736113727,"mr_y_smri__vol__dst__gotml"
"co_longi0 - co_longi3",12.1013587914552,6.58849583052155,Inf,1.83674075278231,0.256029579894747,"mr_y_smri__vol__dst__gotml"
"co_longi1 - co_longi2",3.44332554648448,5.30598967579144,Inf,0.648950668372885,0.915953950735058,"mr_y_smri__vol__dst__gotml"
"co_longi1 - co_longi3",-6.22802431538777,6.62928704930368,Inf,-0.93947120845249,0.783567441991573,"mr_y_smri__vol__dst__gotml"
"co_longi2 - co_longi3",-9.67134986187225,7.93083493805647,Inf,-1.21946175117879,0.614432366790702,"mr_y_smri__vol__dst__gotml"
"co_longi0 - co_longi1",-14.3456720675661,3.11490122081309,Inf,-4.6054982327245,0.0000244081599997115,"mr_y_smri__vol__dst__gpc"
"co_longi0 - co_longi2",-2.48663229718447,5.67498127517665,Inf,-0.438174537784192,0.971866760669462,"mr_y_smri__vol__dst__gpc"
"co_longi0 - co_longi3",-10.7214470919724,7.15750988300795,Inf,-1.49792976429209,0.4387059080525,"mr_y_smri__vol__dst__gpc"
"co_longi1 - co_longi2",11.8590397703816,5.77766305687089,Inf,2.05256686893132,0.168945976930154,"mr_y_smri__vol__dst__gpc"
"co_longi1 - co_longi3",3.62422497559365,7.21840718732792,Inf,0.502080982901056,0.95860110961098,"mr_y_smri__vol__dst__gpc"
