"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-11.7216644513372,5.86648069579328,Inf,-1.99807432414165,0.188634130992512,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",3.82107945705011,11.1626360291725,Inf,0.342309777642493,0.986209822898723,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",-6.0470174811765,14.1498475125071,Inf,-0.427355664139244,0.97380920137522,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",15.5427439083873,11.4541157951658,Inf,1.35695711361213,0.526535935232024,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",5.67464697016071,14.3728504251492,Inf,0.394817089324979,0.979142336542407,"mr_y_smri__vol__dst__gcpd"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",-9.86809693822661,17.2272194489212,Inf,-0.572820063474875,0.940210075635141,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-30.2265863609196,5.8615342064379,Inf,-5.15677044547839,0.00000150105312746174,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-28.6332117775864,11.0308033997838,Inf,-2.59575034925813,0.0465576246676224,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-40.4686076991058,13.8890491611945,Inf,-2.91370613131485,0.0187379299328648,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",1.59337458333315,11.3116194285087,Inf,0.14086175665682,0.99900354982635,"mr_y_smri__vol__dst__gcpd"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-10.2420213381862,14.1075044194223,Inf,-0.72599809531767,0.886735233746388,"mr_y_smri__vol__dst__gcpd"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-11.8353959215194,16.9221967470558,Inf,-0.699400680563445,0.897343096662319,"mr_y_smri__vol__dst__gcpd"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",7.92780110702875,2.99500620689278,Inf,2.64700657006437,0.0405118814117914,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",8.76311704260428,5.68679767193705,Inf,1.54095811881054,0.412916110918119,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",14.2952591883252,7.21110569318116,Inf,1.98239490538085,0.194585129373306,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.835315935575538,5.83379654340818,Inf,0.14318564752132,0.998953673025229,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",6.36745808129647,7.32313470568437,Inf,0.869498969663075,0.820636369960192,"mr_y_smri__vol__dst__gcpv"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",5.53214214572093,8.7747891111047,Inf,0.630458701135036,0.922271873692592,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-6.36402432559114,2.98621373183225,Inf,-2.13113490764319,0.143227675653878,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-9.14136373776121,5.61489137405355,Inf,-1.62805709474693,0.362719722539327,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-17.5829041728696,7.0739770001762,Inf,-2.48557553585934,0.0621542633693466,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-2.77733941217008,5.75730323077437,Inf,-0.482402837030441,0.963018000485768,"mr_y_smri__vol__dst__gcpv"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-11.2188798472785,7.1839366183544,Inf,-1.56166186358258,0.400726944823036,"mr_y_smri__vol__dst__gcpv"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-8.44154043510838,8.61544185681761,Inf,-0.979815147661682,0.760982945891732,"mr_y_smri__vol__dst__gcpv"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-1.01969385983637,11.9850669484292,Inf,-0.0850803641084382,0.999779395352692,"mr_y_smri__vol__dst__gfio"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",28.2142120085165,22.7936562818334,Inf,1.23780983882798,0.6027136645153,"mr_y_smri__vol__dst__gfio"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",44.7773932282042,28.8959093439072,Inf,1.54961010900478,0.407804041828786,"mr_y_smri__vol__dst__gfio"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",29.2339058683529,23.3876132947838,Inf,1.24997388574374,0.5949325469346,"mr_y_smri__vol__dst__gfio"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",45.7970870880406,29.3499351184195,Inf,1.56038120368106,0.401476520265673,"mr_y_smri__vol__dst__gfio"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",16.5631812196877,35.1760581798363,Inf,0.470865187196617,0.965469012316681,"mr_y_smri__vol__dst__gfio"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-30.059664459665,11.9689840042385,Inf,-2.51146333297966,0.0581466882176629,"mr_y_smri__vol__dst__gfio"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-32.4695421994415,22.5198889611878,Inf,-1.44181626540884,0.473147646304304,"mr_y_smri__vol__dst__gfio"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-50.0695652023388,28.3591732175522,Inf,-1.76555094953719,0.290060714042497,"mr_y_smri__vol__dst__gfio"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-2.40987773977657,23.0927509753313,Inf,-0.104356459841052,0.999593472074555,"mr_y_smri__vol__dst__gfio"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-20.0099007426739,28.8040739935642,Inf,-0.694689950704361,0.899165133545476,"mr_y_smri__vol__dst__gfio"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-17.6000230028973,34.5492099757917,Inf,-0.509418971236374,0.956877013467213,"mr_y_smri__vol__dst__gfio"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-5.24462206272613,5.82088686885885,Inf,-0.901000514334736,0.804299373040446,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",7.75202578774381,11.1083055582853,Inf,0.697858530004323,0.897941469168177,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",-8.96742349265231,14.0729054538954,Inf,-0.637211947598931,0.919996147637846,"mr_y_smri__vol__dst__gfiob"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",12.9966478504699,11.4008867275983,Inf,1.13996815870548,0.664721686061861,"mr_y_smri__vol__dst__gfiob"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",-3.72280142992618,14.2978028327761,Inf,-0.2603757705619,0.993818472127128,"mr_y_smri__vol__dst__gfiob"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",-16.7194492803961,17.1453020485244,Inf,-0.975162130890254,0.763628824438895,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-13.3907927082009,5.8337104812928,Inf,-2.2954160565804,0.0990516892074822,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-15.8606280686561,10.9910520040184,Inf,-1.4430491333184,0.472382345961332,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-6.56064344089379,13.8267920557687,Inf,-0.47448774917799,0.964710413246192,"mr_y_smri__vol__dst__gfiob"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-2.46983536045529,11.2717592533032,Inf,-0.219117114281118,0.996288667179201,"mr_y_smri__vol__dst__gfiob"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",6.83014926730707,14.0471216349246,Inf,0.486231232619617,0.962182147718331,"mr_y_smri__vol__dst__gfiob"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",9.29998462776236,16.8552645495631,Inf,0.551755482710796,0.946101962356871,"mr_y_smri__vol__dst__gfiob"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-8.70533329006387,12.8914647847082,Inf,-0.675278832579993,0.9064908233369,"mr_y_smri__vol__dst__gfit"
