"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1",0.0036428175018289,0.000709860842363175,Inf,5.13173467873183,0.00000171481766586545,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2",0.00533963953439116,0.00130064585029206,Inf,4.10537544343231,0.000236030338581883,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi3",0.00441474461662424,0.00164047757628459,Inf,2.69113377741066,0.0358549625405391,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2",0.00169682203256227,0.00132603304661829,Inf,1.27962273405597,0.575945948483261,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi3",0.000771927114795349,0.00165670763117433,Inf,0.465940459420822,0.966484276464353,"mr_y_smri__thk__dsk__bstmps"
"co_longi2 - co_longi3",-0.00092489491776692,0.0019832943972966,Inf,-0.466342727044271,0.966402037200821,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1",0.00164578985797124,0.000856912031465857,Inf,1.92060538017644,0.21929212258253,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2",0.0033742277229018,0.00157043139274844,Inf,2.14859925653709,0.13792842755485,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi3",0.0031237957665658,0.00198075464444043,Inf,1.57707355392736,0.391753405730888,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2",0.00172843786493055,0.00160116482201097,Inf,1.07948778362476,0.702095064473015,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi3",0.00147800590859455,0.00200045080774386,Inf,0.738836417708003,0.881422340841345,"mr_y_smri__thk__dsk__cac"
"co_longi2 - co_longi3",-0.000250431956335998,0.0023948311321728,Inf,-0.104571864367232,0.999590956401626,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi1",0.00555406616417165,0.000534110354000957,Inf,10.398724013805,0.0000000000000339728245535298,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi2",0.00704764851341974,0.000973841943261235,Inf,7.23695314438639,0.00000000000278121969898848,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi3",0.00751348653774639,0.00122825371904178,Inf,6.11721049263994,0.00000000571018810013868,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi2",0.00149358234924809,0.00099166560971031,Inf,1.50613506672315,0.433742986692179,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi3",0.00195942037357474,0.0012389511027362,Inf,1.58151550069038,0.389183447737423,"mr_y_smri__thk__dsk__cmfrt"
"co_longi2 - co_longi3",0.000465838024326648,0.0014827872782856,Inf,0.314163758449054,0.989265960108926,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi1",0.00209765441916358,0.000511684041638791,Inf,4.09951112105302,0.000242034035610295,"mr_y_smri__thk__dsk__cn"
