"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",-0.012809038776066,0.00318598306765927,Inf,-4.02043529549475,0.000338451141804752,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","ses-02A",-0.0178495638947348,0.00593466617423286,Inf,-3.00767783236639,0.0140161244843695,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi3","ses-02A",-0.00322624347510957,0.00750248170144733,Inf,-0.430023504687413,0.973338171646632,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","ses-02A",-0.00504052511866881,0.00602373295466513,Inf,-0.836777652097796,0.836951396911574,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi3","ses-02A",0.00958279530095642,0.00753900297985666,Inf,1.27109583675196,0.581407879235364,"mr_y_smri__thk__dsk__bstmps"
"co_longi2 - co_longi3","ses-02A",0.0146233204196252,0.00906311510543413,Inf,1.61349825633984,0.370904609604948,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","ses-04A",-0.00233492980121029,0.00352019774618911,Inf,-0.663295067368883,0.910866018013321,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","ses-04A",0.00121284861414665,0.00638816001958,Inf,0.189858834222878,0.997574866720949,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi3","ses-04A",0.0191614484665232,0.00801964050174736,Inf,2.38931513979314,0.0791012188630187,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","ses-04A",0.00354777841535695,0.00643636902599304,Inf,0.551208049294466,0.946250360048966,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi3","ses-04A",0.0214963782677335,0.00800380854104035,Inf,2.68576867593829,0.0363955061077005,"mr_y_smri__thk__dsk__bstmps"
"co_longi2 - co_longi3","ses-04A",0.0179485998523766,0.00963051271549396,Inf,1.86372214882185,0.243809752551523,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","ses-06A",0.00143135957945289,0.00348558837689486,Inf,0.410650778198894,0.976641449610337,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","ses-06A",0.00342641783328418,0.00602997700299519,Inf,0.568230663497095,0.94152397697802,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi3","ses-06A",0.0143915857989764,0.0075510936579855,Inf,1.90589422550161,0.225470229613009,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","ses-06A",0.00199505825383129,0.00600025317538479,Inf,0.332495679018302,0.98733110858031,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi3","ses-06A",0.0129602262195235,0.00744666939418703,Inf,1.74040574832561,0.302686445837346,"mr_y_smri__thk__dsk__bstmps"
"co_longi2 - co_longi3","ses-06A",0.0109651679656922,0.00895372866726888,Inf,1.22464823015872,0.611122506603152,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","ses-02A",-0.0134187791112179,0.00382885353478772,Inf,-3.50464675373429,0.00257791051576262,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2","ses-02A",-0.0225086708905625,0.00713174410123544,Inf,-3.15612430438486,0.00868885488288507,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi3","ses-02A",-0.0146185999372597,0.00901644013436125,Inf,-1.62132723330008,0.366492369293149,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2","ses-02A",-0.00908989177934464,0.00723867733702791,Inf,-1.25573932310082,0.591242125299024,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi3","ses-02A",-0.00119982082604186,0.00906016102430165,Inf,-0.132428201090868,0.999171309190551,"mr_y_smri__thk__dsk__cac"
"co_longi2 - co_longi3","ses-02A",0.00789007095330278,0.0108915493746267,Inf,0.724421354750847,0.887379151961517,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi1","ses-04A",-0.00380213331781346,0.0042330490133303,Inf,-0.89820205384822,0.805774693549326,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2","ses-04A",-0.0121639263929815,0.00768131961756696,Inf,-1.58357248475417,0.387995875323753,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi3","ses-04A",0.000197728615079105,0.00964315293152201,Inf,0.0205045607472179,0.999996904091435,"mr_y_smri__thk__dsk__cac"
