"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0104741089748557,0.00294237211622338,Inf,3.55974994362695,0.00210259167995586,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0190624125088814,0.00559940264185967,Inf,3.40436538111688,0.0037052053878609,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0223876919416328,0.00709768837773205,Inf,3.15422300193834,0.00874354399676092,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00858830353402575,0.00574568787779156,Inf,1.49473896193031,0.440641261990297,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.0119135829667771,0.00720963139554283,Inf,1.6524538236646,0.349203245197732,"mr_y_smri__thk__dsk__bstmps"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00332527943275137,0.00864159041092034,Inf,0.384799472623607,0.980634104582748,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00376628938066318,0.00294026781351037,Inf,1.28093412557771,0.575105931418974,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00221356921913753,0.00553356197821493,Inf,0.400026100340454,0.978339070127716,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-0.00476986266754687,0.00696713446133496,Inf,-0.684623311638071,0.903000968160194,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00155272016152566,0.00567445823401652,Inf,-0.273633199415868,0.992844266888853,"mr_y_smri__thk__dsk__bstmps"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-0.00853615204821005,0.00707678789163229,Inf,-1.20621843962617,0.6228722204487,"mr_y_smri__thk__dsk__bstmps"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-0.00698343188668439,0.0084888430943826,Inf,-0.822660026700883,0.843774506967473,"mr_y_smri__thk__dsk__bstmps"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.00961664579340442,0.00355406715964898,Inf,2.70581431397436,0.0344108976000235,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.010344744497581,0.00676421907834376,Inf,1.52933315402226,0.419824858066599,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0148163285523388,0.0085740162991239,Inf,1.72804996345211,0.309003066091771,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.000728098704176632,0.00694101068388209,Inf,0.104898081466345,0.99958712692267,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.00519968275893442,0.00870932941964815,Inf,0.597024467487014,0.933001443002258,"mr_y_smri__thk__dsk__cac"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00447158405475779,0.010439330291638,Inf,0.428340126218592,0.973635990538055,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-0.00319492011850136,0.00355192296639941,Inf,-0.899490261676495,0.805096132446132,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.0030583835882022,0.00668498769635629,Inf,0.457500256861983,0.968181559587207,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-0.00234871566177166,0.00841658790123452,Inf,-0.279057937650382,0.992418666081945,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",0.00625330370670356,0.00685522843188211,Inf,0.912194796838697,0.79835245963224,"mr_y_smri__thk__dsk__cac"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",0.000846204456729702,0.00854912698287588,Inf,0.0989813882077867,0.999652966945618,"mr_y_smri__thk__dsk__cac"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-0.00540709924997386,0.0102550826184511,Inf,-0.527260427940906,0.952508924603351,"mr_y_smri__thk__dsk__cac"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.014657308617808,0.00220637033325963,Inf,6.6431769847783,0.000000000184191772945042,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.025080912547207,0.00418918788045404,Inf,5.98705841393026,0.0000000128098628371376,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0283723834188366,0.00531210517096611,Inf,5.34108089085076,0.000000552700247791194,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.010423603929399,0.00429744882038666,Inf,2.42553299993952,0.0723313838612664,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.0137150748010286,0.00539460476977324,Inf,2.5423687899948,0.053645711053811,"mr_y_smri__thk__dsk__cmfrt"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00329147087162956,0.00646393146816915,Inf,0.509205719125894,0.9569277118612,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00736554897792859,0.00219980146352527,Inf,3.34827896974165,0.00451776550835314,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00313270583025645,0.00413614936671541,Inf,0.75739668771783,0.873523625618297,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",0.00175188567124689,0.00521102916848276,Inf,0.336188037833794,0.986916351085374,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00423284314767213,0.00424104633593916,Inf,-0.99806576311192,0.750507447900163,"mr_y_smri__thk__dsk__cmfrt"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-0.0056136633066817,0.0052920095604435,Inf,-1.06078102138032,0.713435708821259,"mr_y_smri__thk__dsk__cmfrt"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-0.00138082015900956,0.00634649487771261,Inf,-0.217572090676175,0.996365706335244,"mr_y_smri__thk__dsk__cmfrt"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.00727862449614175,0.00210551341576045,Inf,3.45693570112586,0.00306756677106534,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0107592114961567,0.00399015531278478,Inf,2.69643927435189,0.0353272011641309,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.00961838276191383,0.00506099970104491,Inf,1.90049067972242,0.227768050853317,"mr_y_smri__thk__dsk__cn"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00348058700001498,0.00409204440380356,Inf,0.850574103443202,0.83015634108553,"mr_y_smri__thk__dsk__cn"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.00233975826577207,0.00513833855536572,Inf,0.455353075816457,0.968604779049085,"mr_y_smri__thk__dsk__cn"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",-0.00114082873424291,0.00615535006565264,Inf,-0.185339375027397,0.997742531793497,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.000647514857211838,0.00209546459636088,Inf,0.309007777242504,0.989773609543853,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.000898112484824957,0.00393682870582678,Inf,0.228130953093206,0.995817848754728,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-0.0057203209880576,0.00496233278801111,Inf,-1.15274836098816,0.656709110096901,"mr_y_smri__thk__dsk__cn"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",0.00025059762761312,0.00403623616071051,Inf,0.0620869586503596,0.999914162185788,"mr_y_smri__thk__dsk__cn"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-0.00636783584526943,0.00503850084586891,Inf,-1.26383542249287,0.586058045326173,"mr_y_smri__thk__dsk__cn"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-0.00661843347288255,0.00604145847680552,Inf,-1.09550260062072,0.692297468621023,"mr_y_smri__thk__dsk__cn"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-0.000804371539204629,0.00530104602075088,Inf,-0.151738267514737,0.998755931633214,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0150875324789068,0.0100887107426231,Inf,1.49548667454252,0.440187474619677,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0182244517080377,0.0127880855630577,Inf,1.42511180568612,0.483550509489902,"mr_y_smri__thk__dsk__er"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.0158919040181114,0.0103523504330178,Inf,1.53510104984717,0.416391318969789,"mr_y_smri__thk__dsk__er"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.0190288232472423,0.0129898564593753,Inf,1.4648986543272,0.458879972691856,"mr_y_smri__thk__dsk__er"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00313691922913087,0.0155700330878688,Inf,0.201471583999071,0.997107011131553,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.0193107307032512,0.00529762577415433,Inf,3.64516700999587,0.00152348288096471,"mr_y_smri__thk__dsk__er"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.0158792039691667,0.00997036768003096,Inf,1.59263975800714,0.382780308272654,"mr_y_smri__thk__dsk__er"
