"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",-0.00195717677390735,0.00315042588546917,Inf,-0.621241966978022,0.925318989313692,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","ses-02A",-0.00355061025950414,0.00586902377023928,Inf,-0.604974591772591,0.930531254310143,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi3","ses-02A",0.00114214599760394,0.00741866932243633,Inf,0.153955641903291,0.998700921111402,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","ses-02A",-0.00159343348559679,0.00595724423565058,Inf,-0.267478287370029,0.993308051702517,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi3","ses-02A",0.00309932277151129,0.00745501697770878,Inf,0.41573651418616,0.975800444117349,"mr_y_smri__thk__dst__gcpd"
"co_longi2 - co_longi3","ses-02A",0.00469275625710808,0.00896247071489348,Inf,0.523600735376445,0.953425348406705,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","ses-04A",0.0222315608673309,0.00347759194667978,Inf,6.39280318340867,0.000000000976935976559901,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","ses-04A",0.0236111063044686,0.00631151122207059,Inf,3.74095925265939,0.00105202141798877,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi3","ses-04A",0.0319903807629257,0.00792329727720605,Inf,4.03750858306888,0.000314983547088477,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","ses-04A",0.00137954543713769,0.0063591630157001,Inf,0.216938209278759,0.996397007975519,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi3","ses-04A",0.00975881989559482,0.00790779727054062,Inf,1.2340756296257,0.605100665806783,"mr_y_smri__thk__dst__gcpd"
"co_longi2 - co_longi3","ses-04A",0.00837927445845713,0.00951513446124196,Inf,0.880625964098401,0.814934414521648,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","ses-06A",0.0216450162946706,0.00344522564678787,Inf,6.28261208807937,0.00000000199676597478771,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","ses-06A",0.0222036470962657,0.00596326605946606,Inf,3.72340373125223,0.00112668839027597,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi3","ses-06A",0.0232335420535405,0.00746777378010929,Inf,3.11117378989491,0.0100677979033094,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","ses-06A",0.000558630801595164,0.0059344212104538,Inf,0.0941339992198575,0.999701391551802,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi3","ses-06A",0.00158852575886993,0.00736515090669292,Inf,0.21568135928164,0.996458549276988,"mr_y_smri__thk__dst__gcpd"
"co_longi2 - co_longi3","ses-06A",0.00102989495727477,0.00885603665227836,Inf,0.116292987225816,0.999437963615263,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","ses-02A",0.0563301405109125,0.00505015455132956,Inf,11.1541419056339,0.0000000000000124344978758018,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi2","ses-02A",0.0587813531840903,0.00941284375487686,Inf,6.24480281568843,0.00000000254486143269617,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi3","ses-02A",0.0582290685518343,0.0118927090508231,Inf,4.89619886461482,0.00000582229926970879,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi2","ses-02A",0.00245121267317773,0.00955546165422051,Inf,0.256524777334549,0.994084321991141,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi3","ses-02A",0.00189892804092174,0.0119528054811269,Inf,0.158868814850211,0.998573358512888,"mr_y_smri__thk__dst__gcpv"
"co_longi2 - co_longi3","ses-02A",-0.00055228463225599,0.0143718615462235,Inf,-0.0384281904247202,0.999979628898954,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi1","ses-04A",0.0862991775550045,0.00555235535652274,Inf,15.5428051725153,0,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi2","ses-04A",0.0879984090059996,0.010082855401893,Inf,8.72752861153578,0.0000000000000326405569239796,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi3","ses-04A",0.0894721648573423,0.0126569405957247,Inf,7.06901989312997,0.00000000000939059940918696,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi2","ses-04A",0.00169923145099507,0.0101595463304414,Inf,0.167254658399814,0.998337012018502,"mr_y_smri__thk__dst__gcpv"
