"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0241887376412382,0.00288613037601796,Inf,8.38102735837312,0.0000000000000414113188185183,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0271617165639727,0.00549141652336736,Inf,4.94621313979604,0.00000451180960836517,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0308482347653218,0.00696102237311537,Inf,4.43156667395048,0.0000552783439968785,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00297297892273448,0.00563478149560862,Inf,0.527612104400398,0.952420304387802,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.00665949712408353,0.00707069784424318,Inf,0.941844393691007,0.782261970272005,"mr_y_smri__thk__dst__gcpd"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00368651820134905,0.00847483858159158,Inf,0.434995683499699,0.972446404554581,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-0.000586544572660325,0.00288355816242957,Inf,-0.203410002372252,0.997023575445494,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-0.00140745920820285,0.00542645558790685,Inf,-0.259369893552515,0.993888645185892,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-0.00875683870938521,0.00683262535921095,Inf,-1.28162137524199,0.574665714500652,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.000820914635542526,0.0055645895518535,Inf,-0.14752474156321,0.998856177961196,"mr_y_smri__thk__dst__gcpd"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-0.00817029413672489,0.00694006689948665,Inf,-1.17726446373726,0.6412505293973,"mr_y_smri__thk__dst__gcpd"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-0.00734937950118236,0.008324689353734,Inf,-0.882841291595563,0.813790127955251,"mr_y_smri__thk__dst__gcpd"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0299690370440919,0.00447085278529791,Inf,6.70320372494551,0.000000000122350019005069,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0292170558219093,0.00850055145260952,Inf,3.4370776984051,0.00329551930174543,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0312430963055081,0.0107767822845337,Inf,2.89911176458919,0.019585231086988,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",-0.000751981222182667,0.00872179324941071,Inf,-0.0862186480095105,0.999770438779002,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.00127405926141612,0.0109458201862967,Inf,0.116396874764226,0.999436461127287,"mr_y_smri__thk__dst__gcpv"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00202604048359878,0.013118106452387,Inf,0.154446107824512,0.998688540099585,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00678982810475716,0.00446365450742313,Inf,1.52113656947812,0.424722964080109,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-0.00248226340069422,0.00839754166777273,Inf,-0.295594055843796,0.991021324160173,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",0.00489006592337101,0.0105757854260937,Inf,0.462383239291687,0.967206176994598,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00927209150545138,0.00861106474874735,Inf,-1.07676481085573,0.703752995291489,"mr_y_smri__thk__dst__gcpv"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-0.00189976218138616,0.0107414596321947,Inf,-0.176862572353957,0.998036074168224,"mr_y_smri__thk__dst__gcpv"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",0.00737232932406522,0.012883552210738,Inf,0.572228000746612,0.940380524602042,"mr_y_smri__thk__dst__gcpv"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0161817522043376,0.00272557009775518,Inf,5.9370156055297,0.0000000173997873886833,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0238163479585045,0.00518018636033534,Inf,4.59758516428408,0.0000253495528205194,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0273223778085469,0.00656772551107793,Inf,4.16009739786804,0.0001864015639923,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00763459575416688,0.00531476361462411,Inf,1.4364883008455,0.476458972671439,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.0111406256042092,0.00667047541023905,Inf,1.67013967057109,0.33956582641413,"mr_y_smri__thk__dst__gfio"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00350602985004236,0.00799383487213656,Inf,0.438591728015678,0.971790136145059,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00902189577698261,0.00272013309593296,Inf,3.31671115302108,0.00504378268938188,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00582866717253475,0.00511661770788363,Inf,1.13916409341155,0.665224630329507,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",0.00610286593160227,0.00644452287487903,Inf,0.9469849126289,0.779424034197528,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.00319322860444786,0.00524663010617965,Inf,-0.608624686670168,0.92938016233046,"mr_y_smri__thk__dst__gfio"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-0.00291902984538034,0.00654526273705699,Inf,-0.445975961950895,0.970412585200424,"mr_y_smri__thk__dst__gfio"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",0.000274198759067515,0.0078502325794835,Inf,0.0349287433577613,0.999984701269743,"mr_y_smri__thk__dst__gfio"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0119460389203139,0.00399223151943133,Inf,2.99232117730875,0.0147068482591733,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0195706358386763,0.00759976278480793,Inf,2.57516404035642,0.0491915894713025,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0274338540589868,0.00963274218919281,Inf,2.84797968430687,0.0228255005671134,"mr_y_smri__thk__dst__gfiob"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.00762459691836245,0.00779855058646669,Inf,0.977694102746975,0.762190330991256,"mr_y_smri__thk__dst__gfiob"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.0154878151386729,0.00978494547727795,Inf,1.58282079084016,0.388429669443904,"mr_y_smri__thk__dst__gfiob"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.00786321822031045,0.011728986558076,Inf,0.670409006044618,0.908282399513988,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",0.00896784662964037,0.00399068565293213,Inf,2.24719444465672,0.110738201082558,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",0.00895421178459552,0.00751140945192795,Inf,1.19208143849717,0.631859771677985,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",0.000675588753357086,0.00945648794979873,Inf,0.0714418245910697,0.999869283099468,"mr_y_smri__thk__dst__gfiob"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",-0.0000136348450448501,0.00770275209268778,Inf,-0.00177012642764313,0.999999998007872,"mr_y_smri__thk__dst__gfiob"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-0.00829225787628328,0.00960555888371357,Inf,-0.863276981242912,0.823791284029768,"mr_y_smri__thk__dst__gfiob"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-0.00827862303123843,0.0115225834995755,Inf,-0.718469346005906,0.889792840700375,"mr_y_smri__thk__dst__gfiob"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",0.0145818200348473,0.00308442079296026,Inf,4.72757156485528,0.0000135075286346042,"mr_y_smri__thk__dst__gfit"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",0.0300651244369316,0.00586390615401771,Inf,5.12714965882122,0.00000175702683946621,"mr_y_smri__thk__dst__gfit"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",0.0286565587695711,0.00743423349356969,Inf,3.85467564266818,0.000669575599287486,"mr_y_smri__thk__dst__gfit"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",0.0154833044020842,0.00601645461586403,Inf,2.5734930936333,0.0494107724799564,"mr_y_smri__thk__dst__gfit"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",0.0140747387347238,0.0075507658450667,Inf,1.86401472691932,0.243679316546066,"mr_y_smri__thk__dst__gfit"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",-0.00140856566736048,0.00904914442983555,Inf,-0.155657330732435,0.998657631368267,"mr_y_smri__thk__dst__gfit"
