"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",32.9518729273213,1.9661219314893,Inf,16.7598318291282,0,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi2","ses-02A",36.0299960931913,3.67066529959297,Inf,9.81565823971652,0.0000000000000408562073062058,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi3","ses-02A",41.8703255078969,4.63300211431446,Inf,9.03740695013527,0.0000000000000258681964737661,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi2","ses-02A",3.07812316586993,3.72773949573282,Inf,0.825734515352665,0.842299957065007,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi3","ses-02A",8.91845258057554,4.65863380163247,Inf,1.914392279009,0.221887509134348,"mr_y_smri__vol__aseg__ab"
"co_longi2 - co_longi3","ses-02A",5.84032941470561,5.60328482452153,Inf,1.04230457626332,0.72451713879954,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi1","ses-04A",30.0422517987787,2.14176235103951,Inf,14.0268838810233,0,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi2","ses-04A",35.4022750191706,3.89772134164612,Inf,9.0828132429342,0.0000000000000516253706450698,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi3","ses-04A",36.8380806891144,4.89207685509765,Inf,7.53015166773766,0.000000000000329847260616134,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi2","ses-04A",5.36002322039188,3.9288626538636,Inf,1.36426841368987,0.521890694480839,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi3","ses-04A",6.79582889033569,4.88553791652715,Inf,1.39100934358656,0.504963327791901,"mr_y_smri__vol__aseg__ab"
"co_longi2 - co_longi3","ses-04A",1.43580566994381,5.87989212038575,Inf,0.244189117852321,0.994885580653878,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi1","ses-06A",24.7380676785186,2.13521930554447,Inf,11.5857268685619,0,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi2","ses-06A",30.7590365577212,3.72789083006704,Inf,8.25105614940125,0.000000000000046074255521944,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi3","ses-06A",31.6759114522783,4.67013724132256,Inf,6.78265109042232,0.0000000000708151315365058,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi2","ses-06A",6.02096887920259,3.71661402921847,Inf,1.62001457021586,0.367230406711523,"mr_y_smri__vol__aseg__ab"
"co_longi1 - co_longi3","ses-06A",6.93784377375975,4.61413048513084,Inf,1.50360805705802,0.435269269824685,"mr_y_smri__vol__aseg__ab"
"co_longi2 - co_longi3","ses-06A",0.916874894557166,5.55078300440725,Inf,0.165179379887338,0.99839773611814,"mr_y_smri__vol__aseg__ab"
"co_longi0 - co_longi1","ses-02A",104.95896695034,4.29123218531717,Inf,24.4589345012526,0,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi2","ses-02A",95.5850371484397,8.02530278998925,Inf,11.9104586642727,0,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi3","ses-02A",119.168034437597,10.1217601962329,Inf,11.7734496893089,0,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi2","ses-02A",-9.37392980190009,8.15341263829534,Inf,-1.14969402601705,0.658627118840393,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi3","ses-02A",14.2090674872573,10.1826328332144,Inf,1.39542176566646,0.502180853815451,"mr_y_smri__vol__aseg__ag"
"co_longi2 - co_longi3","ses-02A",23.5829972891574,12.2502888717261,Inf,1.92509723942816,0.217428385617459,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi1","ses-04A",115.187657885367,4.6411871188996,Inf,24.8185765698405,0,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi2","ses-04A",115.415563850136,8.46678918938312,Inf,13.6315622449725,0,"mr_y_smri__vol__aseg__ag"
"co_longi0 - co_longi3","ses-04A",133.671320528529,10.6256160812275,Inf,12.5801007213774,0,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi2","ses-04A",0.227905964768653,8.5389558213053,Inf,0.0266901445022132,0.99999317281063,"mr_y_smri__vol__aseg__ag"
"co_longi1 - co_longi3","ses-04A",18.4836626431619,10.6179371550802,Inf,1.7407960108634,0.302488132747497,"mr_y_smri__vol__aseg__ag"
"co_longi2 - co_longi3","ses-04A",18.2557566783932,12.7806187976587,Inf,1.42839380216376,0.481501808965741,"mr_y_smri__vol__aseg__ag"
