"contrast","session_id","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","ses-02A",56.2269537837971,5.13831735578845,Inf,10.9426782914559,0.0000000000000377475828372553,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi2","ses-02A",70.5860882732223,9.76719450686065,Inf,7.2268539572588,0.00000000000299427149741405,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi3","ses-02A",55.6869770676705,12.274426788889,Inf,4.5368291347079,0.000033826702541262,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi2","ses-02A",14.3591344894253,9.96113337047378,Inf,1.44151613630511,0.473334004020973,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi3","ses-02A",-0.539976716126532,12.4016500874361,Inf,-0.0435407153338067,0.999970373309553,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi2 - co_longi3","ses-02A",-14.8991112055518,14.9360434298888,Inf,-0.997527308720657,0.750818682047433,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi1","ses-04A",77.0647413068878,5.32446916981894,Inf,14.4736947194134,0,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi2","ses-04A",79.454676397702,9.97142031444316,Inf,7.96824062090888,0.0000000000000643929354282591,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi3","ses-04A",72.1183747989652,12.5076203626347,Inf,5.7659548905411,0.0000000486554578849052,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi2","ses-04A",2.38993509081417,10.1242989649235,Inf,0.236059316214813,0.995372848106505,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi3","ses-04A",-4.94636650792257,12.5866413882234,Inf,-0.392985416471037,0.979420292395405,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi2 - co_longi3","ses-04A",-7.33630159873673,15.1608202273623,Inf,-0.483898726369446,0.962692746155607,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi1","ses-06A",88.3577618210152,5.35313195987578,Inf,16.505806784383,0,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi2","ses-06A",72.32845199408,9.84751562878506,Inf,7.34484256949624,0.00000000000126376686893082,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi3","ses-06A",70.8808877072793,12.3468703300589,Inf,5.74079793603381,0.0000000564623588994451,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi2","ses-06A",-16.0293098269352,9.95274446511613,Inf,-1.61054168356448,0.372577356946091,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi1 - co_longi3","ses-06A",-17.4768741137359,12.3668145055841,Inf,-1.41320742749431,0.491000134332723,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi2 - co_longi3","ses-06A",-1.44756428680074,14.8955985051602,Inf,-0.0971806729551193,0.999671521150746,"mr_y_smri__vol__aseg__3rdv_sum"
"co_longi0 - co_longi1","ses-02A",158.097401911912,11.6774623954207,Inf,13.538677887236,0,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi2","ses-02A",192.114059954342,22.333671074166,Inf,8.60199200195827,0.0000000000000351940698806175,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi3","ses-02A",138.994317682798,28.0439969918213,Inf,4.95629484353939,0.00000428447651601438,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi2","ses-02A",34.0166580424309,22.8091725448099,Inf,1.4913587056086,0.442694777540646,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi3","ses-02A",-19.1030842291134,28.3790472703174,Inf,-0.673140435165137,0.907279820252686,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi2 - co_longi3","ses-02A",-53.1197422715444,34.1861442597638,Inf,-1.55383835825162,0.405315239491779,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi1","ses-04A",169.89675928318,11.9492871012205,Inf,14.2181502414338,0,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi2","ses-04A",197.292558876313,22.6208846642103,Inf,8.72169951816515,0.0000000000000325295346215171,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi3","ses-04A",135.481391881837,28.371906704527,Inf,4.7751951707997,0.0000106805363482287,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi2","ses-04A",27.3957995931332,23.0327785265154,Inf,1.18942660615588,0.633544696599651,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi1 - co_longi3","ses-04A",-34.4153674013427,28.632787055253,Inf,-1.20195660083425,0.625584243172578,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi2 - co_longi3","ses-04A",-61.8111669944759,34.4943384707245,Inf,-1.79192208735747,0.277155541299731,"mr_y_smri__vol__aseg__4thv_sum"
"co_longi0 - co_longi1","ses-06A",192.182623493179,12.0014852966154,Inf,16.013236590589,0,"mr_y_smri__vol__aseg__4thv_sum"
