"contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1",-15.0447043016475,2.33719594992998,Inf,-6.43707443618418,0.000000000730598914699954,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi2",-10.2885814706601,4.28764495688494,Inf,-2.39958801955817,0.0771309085027194,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi3",-15.6032311948941,5.4079498416508,Inf,-2.88523962902199,0.0204216689973844,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi2",4.75612283098736,4.37253186864841,Inf,1.08772742517656,0.697063968668086,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi3",-0.558526893246579,5.46294051871506,Inf,-0.102239241180307,0.999617654134673,"mr_y_smri__vol__dsk__bstmps"
"co_longi2 - co_longi3",-5.31464972423394,6.54033366540279,Inf,-0.812596114529676,0.848556425672421,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi1",-12.8804278369504,2.99028895280111,Inf,-4.30741912913962,0.0000972632707828547,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi2",-6.72207869848928,5.53258868691924,Inf,-1.21499700752784,0.61727968205649,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi3",-16.2913741807891,6.97846835718108,Inf,-2.33452003318532,0.0903071906487116,"mr_y_smri__vol__dsk__cac"
"co_longi1 - co_longi2",6.15834913846112,5.65095908316395,Inf,1.08978830811372,0.695802328091835,"mr_y_smri__vol__dsk__cac"
"co_longi1 - co_longi3",-3.41094634383867,7.06070326260646,Inf,-0.483088754331748,0.96286907371132,"mr_y_smri__vol__dsk__cac"
"co_longi2 - co_longi3",-9.56929548229979,8.45804776168304,Inf,-1.13138347665178,0.670083899953635,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi1",-22.0595949647328,5.69474019074589,Inf,-3.87367890822838,0.000620079537181684,"mr_y_smri__vol__dsk__cmfrt"
"co_longi0 - co_longi2",-2.8109405461413,10.386481966877,Inf,-0.27063451851219,0.993072739000073,"mr_y_smri__vol__dsk__cmfrt"
"co_longi0 - co_longi3",-23.693043797767,13.0999280761652,Inf,-1.80863922763634,0.269155863211836,"mr_y_smri__vol__dsk__cmfrt"
"co_longi1 - co_longi2",19.2486544185915,10.5774479013755,Inf,1.81978248421233,0.26390240194557,"mr_y_smri__vol__dsk__cmfrt"
"co_longi1 - co_longi3",-1.6334488330342,13.2150787202662,Inf,-0.123604926433711,0.999325587131408,"mr_y_smri__vol__dsk__cmfrt"
"co_longi2 - co_longi3",-20.8821032516257,15.8161747737728,Inf,-1.32030048670514,0.549909568181402,"mr_y_smri__vol__dsk__cmfrt"
"co_longi0 - co_longi1",-4.96034062684726,1.73126230612992,Inf,-2.86515833521245,0.0216880578975496,"mr_y_smri__vol__dsk__er"
"co_longi0 - co_longi2",0.0112401726900049,3.16473141333279,Inf,0.003551698776917,0.999999983907946,"mr_y_smri__vol__dsk__er"
"co_longi0 - co_longi3",-3.81873397217856,3.99156196606564,Inf,-0.956701663319677,0.77402224580409,"mr_y_smri__vol__dsk__er"
"co_longi1 - co_longi2",4.97158079953727,3.22474268566872,Inf,1.54169844981175,0.412477674961474,"mr_y_smri__vol__dsk__er"
"co_longi1 - co_longi3",1.1416066546687,4.02888053853223,Inf,0.283355796666188,0.992070101380707,"mr_y_smri__vol__dsk__er"
