"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-16.2317495984567,9.70040583368371,Inf,-1.6733062386002,0.337854915746561,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",-4.20334162870555,18.4710879465301,Inf,-0.227563294640431,0.995848589486041,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",2.61111554194652,23.4110310176448,Inf,0.111533556124826,0.999503982602359,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",12.0284079697512,18.9547082790314,Inf,0.634586815723119,0.920885093014766,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",18.8428651404032,23.7814866972165,Inf,0.792333354945749,0.857972644622024,"mr_y_smri__vol__dsk__bstmps"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",6.81445717065207,28.5075177507937,Inf,0.239040706041912,0.99519784388933,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-44.4962439135074,9.6993493684996,Inf,-4.58754935233254,0.0000265935082245372,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",-37.1192747027864,18.2584351628343,Inf,-2.03299320953551,0.175841135494268,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",-64.9096336069394,22.9846091146692,Inf,-2.82404774791288,0.0244969273496825,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",7.37696921072102,18.7237103000146,Inf,0.393990779205511,0.979268017955858,"mr_y_smri__vol__dsk__bstmps"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",-20.413389693432,23.3474121987996,Inf,-0.874332003890418,0.818169086521187,"mr_y_smri__vol__dsk__bstmps"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-27.790358904153,28.0077814502502,Inf,-0.992237066456571,0.753869590025495,"mr_y_smri__vol__dsk__bstmps"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",-14.8969182199738,12.4755102054696,Inf,-1.19409290478898,0.630582531449689,"mr_y_smri__vol__dsk__cac"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",-7.93337550306197,23.8532873040137,Inf,-0.332590447679178,0.987320569769616,"mr_y_smri__vol__dsk__cac"
